Generation Group variable value sd var SDSt zMean Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic scenario Import
41 home gvNormUnres1 5.59230493960698 1.54083419093264 2.37417000394705 0.987169709184465 0.221833320510079 SU55 GenGen 1 2.65488503731083 home 1.62938179605359 1 0 0 2.37417000394705 1.54083419093264 1 0 GenGen 100
42 home gvNormUnres1 5.826321301167 1.56079405596479 2.43607808513501 0.999957440839885 0.371761109590217 SU55 GenGen 1 2.63780733826256 home 1.6241327957598 0.99677853262722 0.143622791249305 0.00322146737277951 2.35889802032176 1.53587044385969 0.996778532627221 0.151876407557115 GenGen 100
43 home gvNormUnres1 6.09502615604865 1.53699305852904 2.36234766196645 0.984708802241902 0.543912853762904 SU55 GenGen 1 2.64363802410403 home 1.62592682003343 0.997879578605501 0.308534941079661 0.00212042139449942 2.364112196918 1.53756697314881 0.997879578605501 0.326265615989075 GenGen 100
44 home gvNormUnres1 6.65240335790135 1.57313783339448 2.47476264285707 1.0078657565089 0.901008960207651 SU55 GenGen 1 2.63728387121057 home 1.62397163497722 0.996679623468557 0.650613883659412 0.00332037653144313 2.35842990220914 1.53571804124622 0.996679623468557 0.688002917207279 GenGen 100
45 home gvNormUnres1 6.959012801263 1.5320125724182 2.34706252204742 0.981517942995287 1.09744512239673 SU55 GenGen 1 2.63675212039718 home 1.6238079074808 0.996579139041389 0.838789205185809 0.00342086095861061 2.35795437622102 1.53556321140519 0.99657913904139 0.886992169370782 GenGen 100
46 home gvNormUnres1 7.21271446829935 1.53627160513825 2.36013044475405 0.98424658707419 1.25998474044369 SU55 GenGen 1 2.63488944150729 home 1.62323425342964 0.996227070512977 0.994493453048911 0.00377292948702324 2.35628864821953 1.53502073217906 0.996227070512977 1.05164432242483 GenGen 100
47 home gvNormUnres1 7.59532344439801 1.54758478001181 2.39501865132421 0.991494624283912 1.50511169432967 SU55 GenGen 1 2.64243421037497 home 1.62555658479641 0.997652354244753 1.22931194496121 0.00234764575524682 2.36303566877998 1.53721685808476 0.997652354244753 1.29995720277899 GenGen 100
48 home gvNormUnres1 7.92021054033875 1.55136692507959 2.4067393362309 0.993917739677262 1.71325784133558 SU55 GenGen 1 2.63255982595789 home 1.6225165102266 0.99578657019268 1.42870480471184 0.00421342980731998 2.3542053552406 1.53434199422443 0.99578657019268 1.5108086349789 GenGen 100
49 home gvNormUnres1 8.10357080561837 1.53975477868303 2.37084477847722 0.986478159708985 1.830731675196 SU55 GenGen 1 2.63296148503452 home 1.62264028208181 0.99586253265618 1.54123844521508 0.00413746734382048 2.35456454477918 1.53445903978542 0.99586253265618 1.62980928174456 GenGen 100
50 home gvNormUnres1 8.44718594445897 1.5429101144093 2.38057162114652 0.988499695750704 2.05087635959928 SU55 GenGen 1 2.62993437489691 home 1.62170724081041 0.9952898975171 1.75212526110614 0.0047101024828996 2.35185750700302 1.53357670398419 0.995289897517101 1.85281519689278 GenGen 100
51 home gvNormUnres1 8.79691841922904 1.49794887876188 2.24385084338398 0.959694279710598 2.27494025138128 SU55 GenGen 1 2.6319551056679 home 1.62233014693924 0.995672193508341 1.9667664677387 0.00432780649165865 2.35366457522448 1.53416575871855 0.995672193508341 2.07979125754106 GenGen 100
52 home gvNormUnres1 8.9721015681419 1.56376448413211 2.44535936183296 1.00186051173962 2.38717523369411 SU55 GenGen 1 2.63784710797462 home 1.62414503908198 0.996786046717662 2.07428156907171 0.00321395328233787 2.35893358497187 1.53588202182716 0.996786046717662 2.19348496316089 GenGen 100
53 home gvNormUnres1 9.27062762399069 1.52899808156517 2.33783513342997 0.979586642355521 2.5784325938114 SU55 GenGen 1 2.64498934389317 home 1.62634232063646 0.99813458366572 2.25749587560921 0.00186541633428028 2.36532063452039 1.53795989366446 0.99813458366572 2.3872281041202 GenGen 100
54 home gvNormUnres1 9.62843028711425 1.5542309109333 2.41563372450056 0.995752615940365 2.80766683133004 SU55 GenGen 1 2.64577822233893 home 1.62658483404307 0.998283421345879 2.47708999651455 0.00171657865412145 2.36602610067669 1.53818922785095 0.998283421345878 2.61944170973015 GenGen 100
55 home gvNormUnres1 9.87766000439878 1.53921577517025 2.36918520253295 0.986132835115274 2.96734139526413 SU55 GenGen 1 2.6501319882766 home 1.62792259898209 0.999104447419851 2.63004967600046 0.000895552580148729 2.36991951992015 1.53945429289737 0.999104447419851 2.78119157142921 GenGen 100
56 home gvNormUnres1 10.1965664305153 1.5028255986852 2.25848478006353 0.962818658840296 3.17165589307256 SU55 GenGen 1 2.64964062875484 home 1.62777167586699 0.999011821421782 2.82577202105727 0.000988178578218313 2.36948011443881 1.53931157159258 0.999011821421782 2.98816155430806 GenGen 100
57 home gvNormUnres1 10.4794431860025 1.48139138880461 2.19452044682446 0.949086355352396 3.35288718070406 SU55 GenGen 1 2.64223300759544 home 1.62549469626801 0.99761437141682 2.99938188718708 0.00238562858318048 2.36285574023424 1.53715833284481 0.99761437141682 3.17174831344922 GenGen 100
58 home gvNormUnres1 10.8800728758784 1.46972438043829 2.16008975445472 0.94161162684247 3.6095595058464 SU55 GenGen 1 2.62886441218949 home 1.62137731950015 0.995087415010509 3.24526022635 0.00491258498949099 2.35090067711036 1.53326471201497 0.995087415010509 3.43175662078919 GenGen 100
