Generation variable Group value sd var SDSt zMean scenario Rep Import Trait
23 gvNormUnres1 import 1.42051118130752 1.44502998858266 2.08811166790321 0.96553336774373 1.02000493930765 Class 0 BurnIn 3
24 gvNormUnres1 import 1.69611792326634 1.44246456162749 2.0807040115512 0.963819212779961 1.2041585609203 Class 0 BurnIn 3
25 gvNormUnres1 import 2.0537850856754 1.41021406341613 1.98870370465664 0.94227022598006 1.4431429298128 Class 0 BurnIn 3
26 gvNormUnres1 import 2.24474568773715 1.41508574206174 2.00246765738643 0.945525361393459 1.57073809023981 Class 0 BurnIn 3
27 gvNormUnres1 import 2.62102437996503 1.39660958434169 1.95051833107506 0.933180048889664 1.82215822393084 Class 0 BurnIn 3
28 gvNormUnres1 import 2.87344804473093 1.39425939377122 1.9439592571193 0.931609709565036 1.99082148563842 Class 0 BurnIn 3
29 gvNormUnres1 import 3.03564086179344 1.40844140262367 1.98370718462454 0.941085777796746 2.09919472226295 Class 0 BurnIn 3
30 gvNormUnres1 import 3.26140924045123 1.40486488579825 1.97364534734892 0.938696037540468 2.25004757977998 Class 0 BurnIn 3
31 gvNormUnres1 import 3.5851087962367 1.4065572296681 1.9784032403316 0.939826819938722 2.46633563241843 Class 0 BurnIn 3
32 gvNormUnres1 import 3.78606914088751 1.37207036683659 1.8825770915511 0.916783549504395 2.60061237399938 Class 0 BurnIn 3
33 gvNormUnres1 import 4.00336365301405 1.3937434481627 1.94252079929644 0.931264967445557 2.74580320307799 Class 0 BurnIn 3
34 gvNormUnres1 import 4.24770705743795 1.37555708862422 1.89215730406435 0.919113290933014 2.90906743428662 Class 0 BurnIn 3
35 gvNormUnres1 import 4.49525514664124 1.3548448163974 1.83560447651891 0.905273861914379 3.07447295675707 Class 0 BurnIn 3
36 gvNormUnres1 import 4.67464409755668 1.36123785345519 1.85296849367929 0.909545531463998 3.19433622553482 Class 0 BurnIn 3
37 gvNormUnres1 import 4.97816333046795 1.33395211771968 1.77942825236882 0.891313876395089 3.39714028458086 Class 0 BurnIn 3
38 gvNormUnres1 import 5.13188084045965 1.34931289335611 1.82064528417704 0.901577567493946 3.49985053023399 Class 0 BurnIn 3
39 gvNormUnres1 import 5.37600740481339 1.34506934864601 1.809211552667 0.898742135670739 3.66296987426046 Class 0 BurnIn 3
40 gvNormUnres1 import 5.61630331062637 1.33069899961304 1.77075982757115 0.889140223179592 3.82352966680995 Class 0 BurnIn 3
20 gvNormUnres3 import -0.702534248155984 1.58820200002365 2.52238559287913 1 0 Class 0 BurnIn 3
21 gvNormUnres3 import 1.54434203574815 1.36584109435733 1.86552189503522 0.859992050341824 1.41472953936002 Class 0 BurnIn 3
22 gvNormUnres3 import 1.2180407280753 1.47612860676908 2.17895566372202 0.929433791638025 1.2092762609559 Class 0 BurnIn 3
23 gvNormUnres3 import 1.70540839171984 1.43934878350799 2.07172492058592 0.906275639677164 1.51614381535847 Class 0 BurnIn 3
24 gvNormUnres3 import 2.17712993154306 1.48201549956067 2.19636994093806 0.933140431468162 1.81315990009845 Class 0 BurnIn 3
25 gvNormUnres3 import 2.5552512111526 1.41131576511097 1.99181218885077 0.888624850673879 2.05124125222111 Class 0 BurnIn 3
26 gvNormUnres3 import 2.78653172588179 1.4049987329149 1.97402143949246 0.884647376652322 2.19686536976141 Class 0 BurnIn 3
27 gvNormUnres3 import 3.28986500111146 1.41510355729315 2.00251807786373 0.89100980685837 2.51378555700596 Class 0 BurnIn 3
28 gvNormUnres3 import 3.58393587683117 1.40635482258127 1.97783388699761 0.885501228785966 2.69894517506168 Class 0 BurnIn 3
29 gvNormUnres3 import 3.95263916998832 1.39950892974584 1.95862524443835 0.881190761455406 2.93109655955286 Class 0 BurnIn 3
30 gvNormUnres3 import 4.19876584691935 1.38125187695563 1.90785674759345 0.869695339091035 3.08606845665875 Class 0 BurnIn 3
31 gvNormUnres3 import 4.6277255978153 1.34781088363339 1.81659417804061 0.848639457457751 3.35615988765403 Class 0 BurnIn 3
32 gvNormUnres3 import 4.95630949213663 1.32636166164077 1.75923525747047 0.83513410864677 3.56305038037248 Class 0 BurnIn 3
33 gvNormUnres3 import 5.28072181186338 1.34311392255087 1.80395500894999 0.845682049594995 3.76731427106266 Class 0 BurnIn 3
34 gvNormUnres3 import 5.6034381124747 1.34741405614667 1.81552463870162 0.848389597876468 3.9705102754793 Class 0 BurnIn 3
35 gvNormUnres3 import 5.96198341638519 1.32503947691574 1.75572961538515 0.834301604516308 4.19626575488629 Class 0 BurnIn 3
36 gvNormUnres3 import 6.23672901415001 1.31721780638236 1.73506274945074 0.829376745755727 4.36925735026316 Class 0 BurnIn 3
37 gvNormUnres3 import 6.64258781357826 1.30626121495827 1.70631836170425 0.822478006537464 4.62480343282835 Class 0 BurnIn 3
38 gvNormUnres3 import 6.87390739279814 1.29675735271744 1.68157963182673 0.816493967831625 4.77045214704508 Class 0 BurnIn 3
39 gvNormUnres3 import 7.17522311992458 1.30445521124166 1.70160339813552 0.821340869248515 4.96017343383477 Class 0 BurnIn 3
40 gvNormUnres3 import 7.5551151904949 1.31029306705364 1.71686792156885 0.825016633296098 5.19936975178718 Class 0 BurnIn 3
