Generation Group variable value sd var SDSt zMean zMean_noC Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
27 home gvNormUnres2 1.81383639185429 1.44479075521714 2.08742032636092 0.994079370852884 1.2621404882348 1.24799894568372 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres2 2.08168508352316 1.47482929817362 2.17512145875128 1.01474720512278 1.44643212903917 1.43229058648809 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres2 2.11119173750706 1.3983332023869 1.95533574489761 0.962114538075485 1.466734000381 1.45259245782993 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres2 2.21254046299525 1.41477721040039 2.00159455506831 0.973428736398888 1.53646636605835 1.52232482350727 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres2 3.31028636748049 1.45088972282637 2.10508098780319 0.998275727911471 2.2917636671703 2.27762212461922 SU55 ClassGen 0 2.64316359896366 2 1.6257809197317 NA NA NA NA NA NA NA 100_100
32 home gvNormUnres2 3.44243736647066 1.48125624446857 2.19412006177713 1.01916922589383 2.38268934721037 2.3685478046593 SU55 ClassGen 0 2.66141310812732 2 1.63138380160136 NA NA NA NA NA NA NA 100_100
33 home gvNormUnres2 3.91341326973738 1.46474197771781 2.14546906128869 1.00780668647945 2.70674141351522 2.69259987096415 SU55 ClassGen 0 2.64746694402476 2 1.62710385164093 NA NA NA NA NA NA NA 100_100
34 home gvNormUnres2 6.020914816 0 0 0 4.15679485801235 4.14265331546127 SU55 ClassGen 0 0 2 0 NA NA NA NA NA NA NA 100_100
35 home gvNormUnres2 6.020914816 0 0 0 4.15679485801235 4.14265331546127 SU55 ClassGen 0 0 2 0 NA NA NA NA NA NA NA 100_100
36 home gvNormUnres2 6.020914816 0 0 0 4.15679485801235 4.14265331546127 SU55 ClassGen 0 0 2 0 NA NA NA NA NA NA NA 100_100
37 home gvNormUnres2 6.020914816 0 0 0 4.15679485801235 4.14265331546127 SU55 ClassGen 0 0 2 0 NA NA NA NA NA NA NA 100_100
38 home gvNormUnres2 6.020914816 0 0 0 4.15679485801235 4.14265331546127 SU55 ClassGen 0 0 2 0 NA NA NA NA NA NA NA 100_100
39 home gvNormUnres2 6.020914816 0 0 0 4.15679485801235 4.14265331546127 SU55 ClassGen 0 0 2 0 NA NA NA NA NA NA NA 100_100
40 home gvNormUnres2 6.020914816 0 0 0 4.15679485801235 4.14265331546127 SU55 ClassGen 0 0 2 0 NA NA NA NA NA NA NA 100_100
