Generation Group gvNormUnres1 sd var SDSt zMean Strategy Scenario Rep GenVar SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic scenario Import
41 home 5.02035759752826 1.44583119866372 2.09042785502936 1.00457970643283 0.0488518123463503 SU55 Class 1 2.5597484162867 1.59992137815791 1 0 0 2.09042785502936 1.44583119866372 1 0 GenGen 100
42 home 5.15477404539133 1.44580255971246 2.09034504167109 1.00455980776881 0.142245865441086 SU55 Class 1 2.55389477419968 1.59809097807343 0.998855943729817 0.0840144082691298 0.00114405627018332 2.08564745692687 1.44417708641526 0.998855943729817 0.0929682856389455 GenGen 100
43 home 5.41258646148069 1.4831065036018 2.19960490102595 1.03047900569162 0.32137681897782 SU55 Class 1 2.56022705349099 1.60007095264272 1.00009348864692 0.245155086560584 -9.3488646915052e-05 2.09081873584325 1.44596636746615 1.00009348864692 0.271282611908597 GenGen 100
44 home 5.73795199525573 1.55857768146228 2.42916438915235 1.08291722515272 0.547444435104222 SU55 Class 1 2.55415620555376 1.59817277087108 0.998907066740469 0.448518538175718 0.00109293325953119 2.08586095579311 1.44425100165903 0.998907066740469 0.496319624580441 GenGen 100
45 home 5.85279882091434 1.47518349418592 2.17616634151859 1.02497401003209 0.627241295561722 SU55 Class 1 2.54523795553456 1.59538019153259 0.997161618884956 0.520301331522002 0.00283838111504442 2.07857783447555 1.44172737869389 0.997161618884956 0.575752704849255 GenGen 100
46 home 6.08379140184299 1.4902334869791 2.22079584571389 1.03543091354611 0.787737527315422 SU55 Class 1 2.5372072228093 1.59286133194616 0.995587254281285 0.664678789115951 0.00441274571871486 2.07201950738435 1.43945111323183 0.995587254281285 0.735517261833595 GenGen 100
47 home 6.19720771484108 1.53400598945965 2.35317437569807 1.06584453840936 0.86654045155832 SU55 Class 1 2.54278468101411 1.59461113786845 0.996680936724795 0.735567468113837 0.00331906327520493 2.07657435891484 1.44103239343009 0.996680936724795 0.813960937072388 GenGen 100
48 home 6.42141365745509 1.59243408300892 2.53584630872846 1.10644103205219 1.02232125101807 SU55 Class 1 2.53713122738753 1.59283747676514 0.995572344060477 0.875703068321991 0.00442765593952299 2.07195744544674 1.43942955556941 0.995572344060477 0.969031558609144 GenGen 100
49 home 6.84497984069755 1.60205460780747 2.56657896639715 1.11312548040742 1.31661977798985 SU55 Class 1 2.52960281486534 1.59047251308073 0.994094169122201 1.14044494190714 0.00590583087779917 2.06580933997653 1.43729236412656 0.994094169122201 1.26198842911652 GenGen 100
50 home 7.07663085322427 1.60933304310169 2.58995284361895 1.11818261874965 1.47757349539064 SU55 Class 1 2.53621990728293 1.59255138293335 0.995393526628763 1.2852339394724 0.00460647337123665 2.07121321256847 1.43917101574777 0.995393526628763 1.42220838614942 GenGen 100
51 home 7.53447533422688 1.58317716125661 2.50644992392455 1.1000092191649 1.7956889674752 SU55 Class 1 2.53763916378679 1.59299691267334 0.995671996399884 1.5714008019527 0.00432800360011554 2.07237225355477 1.43957363603074 0.995671996399885 1.73887362440528 GenGen 100
52 home 8.04800455347964 1.52958038728994 2.33961616118203 1.06276958046645 2.15249481922222 SU55 Class 1 2.53950932812957 1.59358380015912 0.996038819103668 1.89237233609398 0.0039611808963318 2.07389953006787 1.44010399974025 0.996038819103668 2.09405285952442 GenGen 100
53 home 8.3240084276406 1.47944562173777 2.18875934767906 1.02793538398001 2.34426540152477 SU55 Class 1 2.5355429301933 1.59233882392954 0.995260670723019 2.06488323439746 0.00473932927698106 2.07066035676577 1.43897892853432 0.995260670723019 2.2849491926621 GenGen 100
54 home 8.62440365909887 1.51875211843833 2.30660799726092 1.05524597801951 2.55298337199814 SU55 Class 1 2.54035947610553 1.59385051874557 0.996205526411975 2.25263948014756 0.00379447358802454 2.07459380650477 1.44034503036765 0.996205526411976 2.49271565373716 GenGen 100
55 home 8.93056822632424 1.50880454610815 2.27649115835662 1.0483342933772 2.76570994156425 SU55 Class 1 2.53683797531977 1.5927454207499 0.995514806223621 2.44400173794668 0.00448519377637935 2.07171796007892 1.43934636556978 0.995514806223621 2.70447243938982 GenGen 100
56 home 9.25811873819345 1.45984444000906 2.13114578902536 1.01431626343194 2.99329570493664 SU55 Class 1 2.52971710160552 1.59050844122423 0.994116625315352 2.64873086797827 0.00588337468464795 2.0659026726586 1.43732483199122 0.994116625315352 2.93102067833497 GenGen 100
57 home 9.58588501188532 1.48357547287005 2.2009961837016 1.03080485079046 3.2210313820394 SU55 Class 1 2.53091235618819 1.59088414291808 0.994351450412998 2.85359485577575 0.00564854958700201 2.06687878166118 1.43766434944363 0.994351450412998 3.15771814757951 GenGen 100
58 home 9.78932678625942 1.50724486309814 2.27178707733574 1.0472506081574 3.36238500490062 SU55 Class 1 2.53954878360221 1.59359617958949 0.996046556627862 2.98075221310061 0.00395344337213832 2.07393175152311 1.44011518689413 0.996046556627862 3.29842736353925 GenGen 100
59 home 10.1802073521054 1.50759130491643 2.27283154265962 1.04749131981201 3.63397319891025 SU55 Class 1 2.52915005033767 1.59033017022808 0.994005200467493 3.22506457193416 0.00599479953250737 2.06543958817811 1.43716373046988 0.994005200467493 3.56877743359393 GenGen 100
60 home 10.5799815280463 1.55054750863138 2.40419757652297 1.07733777115246 3.91174077279943 SU55 Class 1 2.52631685840578 1.58943916473886 0.993448294671134 3.47493571022794 0.00655170532886595 2.06312585168144 1.43635853869479 0.993448294671134 3.84527871279607 GenGen 100
