,Gen,genInt,line,sex,Group,Rep,scenario,strategy,trait
89,41,4.09612886464017,dam,F,home,0,0_0,GenGen,12
90,42,5,dam,M,home,0,0_0,GenGen,12
91,41,3.86905689789556,sire,F,home,0,0_0,GenGen,12
92,42,4.17777777777778,sire,M,home,0,0_0,GenGen,12
93,42,4.07430501428943,dam,F,home,0,0_0,GenGen,12
94,43,4.91111111111111,dam,M,home,0,0_0,GenGen,12
95,42,3.84177708495713,sire,F,home,0,0_0,GenGen,12
96,43,3.88888888888889,sire,M,home,0,0_0,GenGen,12
97,43,4.0878150168875,dam,F,home,0,0_0,GenGen,12
98,44,5.11111111111111,dam,M,home,0,0_0,GenGen,12
99,43,3.7861782281112,sire,F,home,0,0_0,GenGen,12
100,44,4.26666666666667,sire,M,home,0,0_0,GenGen,12
101,44,4.08911405559886,dam,F,home,0,0_0,GenGen,12
102,45,4.97777777777778,dam,M,home,0,0_0,GenGen,12
103,44,3.8358015068849,sire,F,home,0,0_0,GenGen,12
104,45,3.64444444444444,sire,M,home,0,0_0,GenGen,12
105,45,4.06729020524812,dam,F,home,0,0_0,GenGen,12
106,46,5.04444444444444,dam,M,home,0,0_0,GenGen,12
107,45,3.80592361652377,sire,F,home,0,0_0,GenGen,12
108,46,4.31111111111111,sire,M,home,0,0_0,GenGen,12
109,46,4.09145232527929,dam,F,home,0,0_0,GenGen,12
110,47,4.97777777777778,dam,M,home,0,0_0,GenGen,12
111,46,3.83554169914263,sire,F,home,0,0_0,GenGen,12
112,47,4.04444444444444,sire,M,home,0,0_0,GenGen,12
113,47,4.0745648220317,dam,F,home,0,0_0,GenGen,12
114,48,4.95555555555556,dam,M,home,0,0_0,GenGen,12
115,47,3.81917381137958,sire,F,home,0,0_0,GenGen,12
116,48,3.77777777777778,sire,M,home,0,0_0,GenGen,12
117,48,4.05611847233048,dam,F,home,0,0_0,GenGen,12
118,49,4.95555555555556,dam,M,home,0,0_0,GenGen,12
119,48,3.85840478046246,sire,F,home,0,0_0,GenGen,12
120,49,3.51111111111111,sire,M,home,0,0_0,GenGen,12
121,19,1,dam,F,import,0,0_0,GenGen,12
122,20,1,dam,M,import,0,0_0,GenGen,12
123,19,1,sire,F,import,0,0_0,GenGen,12
124,20,1,sire,M,import,0,0_0,GenGen,12
125,20,1,dam,F,import,0,0_0,GenGen,12
126,21,5.008,dam,M,import,0,0_0,GenGen,12
127,20,1,sire,F,import,0,0_0,GenGen,12
128,21,7.964,sire,M,import,0,0_0,GenGen,12
129,21,4.17822811119771,dam,F,import,0,0_0,GenGen,12
130,22,4.952,dam,M,import,0,0_0,GenGen,12
131,21,4.34346583528189,sire,F,import,0,0_0,GenGen,12
132,22,7.908,sire,M,import,0,0_0,GenGen,12
133,22,4.15198752922837,dam,F,import,0,0_0,GenGen,12
134,23,4.936,dam,M,import,0,0_0,GenGen,12
135,22,4.34398545076643,sire,F,import,0,0_0,GenGen,12
136,23,8.016,sire,M,import,0,0_0,GenGen,12
137,23,4.1215900233827,dam,F,import,0,0_0,GenGen,12
138,24,5.132,dam,M,import,0,0_0,GenGen,12
139,23,4.35307872174591,sire,F,import,0,0_0,GenGen,12
140,24,7.944,sire,M,import,0,0_0,GenGen,12
141,24,4.09223174850611,dam,F,import,0,0_0,GenGen,12
142,25,5.036,dam,M,import,0,0_0,GenGen,12
143,24,4.35749545336451,sire,F,import,0,0_0,GenGen,12
144,25,7.924,sire,M,import,0,0_0,GenGen,12
145,25,4.07690309171213,dam,F,import,0,0_0,GenGen,12
146,26,4.996,dam,M,import,0,0_0,GenGen,12
147,25,4.30007794232268,sire,F,import,0,0_0,GenGen,12
148,26,7.964,sire,M,import,0,0_0,GenGen,12
149,26,4.07950116913484,dam,F,import,0,0_0,GenGen,12
150,27,5.008,dam,M,import,0,0_0,GenGen,12
151,26,4.32320083138478,sire,F,import,0,0_0,GenGen,12
152,27,8.068,sire,M,import,0,0_0,GenGen,12
153,27,4.13120290984671,dam,F,import,0,0_0,GenGen,12
154,28,5.008,dam,M,import,0,0_0,GenGen,12
155,27,4.21486100285789,sire,F,import,0,0_0,GenGen,12
156,28,8.14,sire,M,import,0,0_0,GenGen,12
157,28,4.0878150168875,dam,F,import,0,0_0,GenGen,12
158,29,4.96,dam,M,import,0,0_0,GenGen,12
159,28,4.27227851389971,sire,F,import,0,0_0,GenGen,12
160,29,8.048,sire,M,import,0,0_0,GenGen,12
161,29,4.06261366588724,dam,F,import,0,0_0,GenGen,12
162,30,4.98666666666667,dam,M,import,0,0_0,GenGen,12
163,29,4.3548973759418,sire,F,import,0,0_0,GenGen,12
164,30,8.07333333333333,sire,M,import,0,0_0,GenGen,12
165,30,4.07560405300078,dam,F,import,0,0_0,GenGen,12
166,31,4.9175,dam,M,import,0,0_0,GenGen,12
167,30,4.29202390231229,sire,F,import,0,0_0,GenGen,12
168,31,3.9675,sire,M,import,0,0_0,GenGen,12
169,31,4.07378539880488,dam,F,import,0,0_0,GenGen,12
170,32,4.9125,dam,M,import,0,0_0,GenGen,12
171,31,3.89789555728761,sire,F,import,0,0_0,GenGen,12
172,32,4.0025,sire,M,import,0,0_0,GenGen,12
173,32,4.07222655235126,dam,F,import,0,0_0,GenGen,12
174,33,4.975,dam,M,import,0,0_0,GenGen,12
175,32,3.64380358534684,sire,F,import,0,0_0,GenGen,12
176,33,4.1,sire,M,import,0,0_0,GenGen,12
177,33,4.0878150168875,dam,F,import,0,0_0,GenGen,12
178,34,5.03,dam,M,import,0,0_0,GenGen,12
179,33,3.65731358794492,sire,F,import,0,0_0,GenGen,12
180,34,4.115,sire,M,import,0,0_0,GenGen,12
181,34,4.1002857885165,dam,F,import,0,0_0,GenGen,12
182,35,4.9675,dam,M,import,0,0_0,GenGen,12
183,34,3.54637568199532,sire,F,import,0,0_0,GenGen,12
184,35,3.8525,sire,M,import,0,0_0,GenGen,12
185,35,4.10314367368148,dam,F,import,0,0_0,GenGen,12
186,36,4.98,dam,M,import,0,0_0,GenGen,12
187,35,3.54221875811899,sire,F,import,0,0_0,GenGen,12
188,36,3.905,sire,M,import,0,0_0,GenGen,12
189,36,4.09171213302156,dam,F,import,0,0_0,GenGen,12
190,37,5,dam,M,import,0,0_0,GenGen,12
191,36,3.52221356196415,sire,F,import,0,0_0,GenGen,12
192,37,3.91,sire,M,import,0,0_0,GenGen,12
193,37,4.08989347882567,dam,F,import,0,0_0,GenGen,12
194,38,5.0025,dam,M,import,0,0_0,GenGen,12
195,37,3.66095089633671,sire,F,import,0,0_0,GenGen,12
196,38,3.9475,sire,M,import,0,0_0,GenGen,12
197,38,4.06625097427903,dam,F,import,0,0_0,GenGen,12
198,39,4.96,dam,M,import,0,0_0,GenGen,12
199,38,3.58248895817095,sire,F,import,0,0_0,GenGen,12
200,39,3.9725,sire,M,import,0,0_0,GenGen,12
201,39,4.08885424785659,dam,F,import,0,0_0,GenGen,12
202,40,4.9875,dam,M,import,0,0_0,GenGen,12
203,39,3.5918420368927,sire,F,import,0,0_0,GenGen,12
204,40,3.95,sire,M,import,0,0_0,GenGen,12
205,40,4.08391790075344,dam,F,import,0,0_0,GenGen,12
206,41,5.02,dam,M,import,0,0_0,GenGen,12
207,40,3.59158222915043,sire,F,import,0,0_0,GenGen,12
208,41,3.88,sire,M,import,0,0_0,GenGen,12
209,41,4.08599636269161,dam,F,import,0,0_0,GenGen,12
210,42,5.0725,dam,M,import,0,0_0,GenGen,12
211,41,3.56040530007794,sire,F,import,0,0_0,GenGen,12
212,42,4.055,sire,M,import,0,0_0,GenGen,12
213,42,4.07014809041309,dam,F,import,0,0_0,GenGen,12
214,43,5.0075,dam,M,import,0,0_0,GenGen,12
215,42,3.5874253052741,sire,F,import,0,0_0,GenGen,12
216,43,4.045,sire,M,import,0,0_0,GenGen,12
217,43,4.07144712912445,dam,F,import,0,0_0,GenGen,12
218,44,4.99,dam,M,import,0,0_0,GenGen,12
219,43,3.59859703819174,sire,F,import,0,0_0,GenGen,12
220,44,4.125,sire,M,import,0,0_0,GenGen,12
221,44,4.05378020265004,dam,F,import,0,0_0,GenGen,12
222,45,5.025,dam,M,import,0,0_0,GenGen,12
223,44,3.6069108859444,sire,F,import,0,0_0,GenGen,12
224,45,3.9475,sire,M,import,0,0_0,GenGen,12
225,45,4.05637828007275,dam,F,import,0,0_0,GenGen,12
226,46,5.01,dam,M,import,0,0_0,GenGen,12
227,45,3.59651857625357,sire,F,import,0,0_0,GenGen,12
228,46,4.1525,sire,M,import,0,0_0,GenGen,12
