,Gen,genInt,line,sex,Group,Rep,scenario,strategy
96,22,8.07581227436823,sire,M,import,3,0_0,GenGen
97,22,4.18602234346584,dam,F,import,3,0_0,GenGen
98,23,5.02166064981949,dam,M,import,3,0_0,GenGen
99,22,6.26955053260587,sire,F,import,3,0_0,GenGen
100,23,8.014440433213,sire,M,import,3,0_0,GenGen
101,23,4.16250974279034,dam,F,import,3,0_0,GenGen
102,24,4.985559566787,dam,M,import,3,0_0,GenGen
103,23,5.89607690309171,sire,F,import,3,0_0,GenGen
104,24,7.86281588447653,sire,M,import,3,0_0,GenGen
105,24,4.0984671343206,dam,F,import,3,0_0,GenGen
106,25,5.05415162454874,dam,M,import,3,0_0,GenGen
107,24,5.94557027799428,sire,F,import,3,0_0,GenGen
108,25,8.04693140794224,sire,M,import,3,0_0,GenGen
109,25,4.05118212522733,dam,F,import,3,0_0,GenGen
110,26,4.97833935018051,dam,M,import,3,0_0,GenGen
111,25,5.87737074564822,sire,F,import,3,0_0,GenGen
112,26,7.96028880866426,sire,M,import,3,0_0,GenGen
113,26,4.06443232008314,dam,F,import,3,0_0,GenGen
114,27,4.97472924187726,dam,M,import,3,0_0,GenGen
115,26,5.97440893738633,sire,F,import,3,0_0,GenGen
116,27,8.14801444043321,sire,M,import,3,0_0,GenGen
117,27,4.13159262146012,dam,F,import,3,0_0,GenGen
118,28,5.03249097472924,dam,M,import,3,0_0,GenGen
119,27,5.88204728500909,sire,F,import,3,0_0,GenGen
120,28,8.04332129963899,sire,M,import,3,0_0,GenGen
121,28,4.11262665627436,dam,F,import,3,0_0,GenGen
122,29,4.95667870036101,dam,M,import,3,0_0,GenGen
123,28,5.79098467134321,sire,F,import,3,0_0,GenGen
124,29,7.92418772563177,sire,M,import,3,0_0,GenGen
125,29,4.12613665887244,dam,F,import,3,0_0,GenGen
126,30,4.985559566787,dam,M,import,3,0_0,GenGen
127,29,5.79488178747727,sire,F,import,3,0_0,GenGen
128,30,8,sire,M,import,3,0_0,GenGen
129,30,4.13211223694466,dam,F,import,3,0_0,GenGen
130,31,4.99638989169675,dam,M,import,3,0_0,GenGen
131,30,5.73044946739413,sire,F,import,3,0_0,GenGen
132,31,7.94584837545126,sire,M,import,3,0_0,GenGen
133,31,4.07989088074825,dam,F,import,3,0_0,GenGen
134,32,5.01083032490975,dam,M,import,3,0_0,GenGen
135,31,5.96050922317485,sire,F,import,3,0_0,GenGen
136,32,7.9783393501805,sire,M,import,3,0_0,GenGen
137,32,4.07820213042349,dam,F,import,3,0_0,GenGen
138,33,4.94945848375451,dam,M,import,3,0_0,GenGen
139,32,5.94154325798909,sire,F,import,3,0_0,GenGen
140,33,7.87364620938628,sire,M,import,3,0_0,GenGen
141,33,4.09677838399584,dam,F,import,3,0_0,GenGen
142,34,4.97472924187726,dam,M,import,3,0_0,GenGen
143,33,5.89633671083398,sire,F,import,3,0_0,GenGen
144,34,7.7942238267148,sire,M,import,3,0_0,GenGen
145,34,4.08846453624318,dam,F,import,3,0_0,GenGen
146,35,4.95306859205776,dam,M,import,3,0_0,GenGen
147,34,5.84112756560145,sire,F,import,3,0_0,GenGen
148,35,7.94223826714801,sire,M,import,3,0_0,GenGen
149,35,4.09664848012471,dam,F,import,3,0_0,GenGen
150,36,5.00361010830325,dam,M,import,3,0_0,GenGen
151,35,5.8398285268901,sire,F,import,3,0_0,GenGen
152,36,8.07220216606498,sire,M,import,3,0_0,GenGen
153,36,4.10132501948558,dam,F,import,3,0_0,GenGen
154,37,5.02527075812274,dam,M,import,3,0_0,GenGen
155,36,5.82579890880748,sire,F,import,3,0_0,GenGen
156,37,7.95667870036101,sire,M,import,3,0_0,GenGen
157,37,4.10496232787737,dam,F,import,3,0_0,GenGen
158,38,5.02527075812274,dam,M,import,3,0_0,GenGen
159,37,5.91023642504547,sire,F,import,3,0_0,GenGen
160,38,7.9927797833935,sire,M,import,3,0_0,GenGen
161,38,4.10041569238763,dam,F,import,3,0_0,GenGen
162,39,5.014440433213,dam,M,import,3,0_0,GenGen
163,38,5.87996882307093,sire,F,import,3,0_0,GenGen
164,39,8.08303249097473,sire,M,import,3,0_0,GenGen
165,58,4.07534424525851,dam,F,import,3,0_0,GenGen
166,59,4.98550724637681,dam,M,import,3,0_0,GenGen
167,58,3.79137438295661,sire,F,import,3,0_0,GenGen
168,59,4,sire,M,import,3,0_0,GenGen
169,19,1,dam,F,home,3,100_100,GenGen
170,20,1,dam,M,home,3,100_100,GenGen
171,19,1,sire,F,home,3,100_100,GenGen
172,20,1,sire,M,home,3,100_100,GenGen
173,20,1,dam,F,home,3,100_100,GenGen
174,21,5.014440433213,dam,M,home,3,100_100,GenGen
175,20,1,sire,F,home,3,100_100,GenGen
176,21,7.95667870036101,sire,M,home,3,100_100,GenGen
177,21,4.20122109638867,dam,F,home,3,100_100,GenGen
178,22,4.96028880866426,dam,M,home,3,100_100,GenGen
179,21,6.20239023122889,sire,F,home,3,100_100,GenGen
180,22,8.07581227436823,sire,M,home,3,100_100,GenGen
181,22,4.18602234346584,dam,F,home,3,100_100,GenGen
182,23,5.02166064981949,dam,M,home,3,100_100,GenGen
183,22,6.26955053260587,sire,F,home,3,100_100,GenGen
184,23,8.014440433213,sire,M,home,3,100_100,GenGen
185,23,4.16250974279034,dam,F,home,3,100_100,GenGen
186,24,4.985559566787,dam,M,home,3,100_100,GenGen
187,23,5.89607690309171,sire,F,home,3,100_100,GenGen
188,24,7.86281588447653,sire,M,home,3,100_100,GenGen
189,24,4.0984671343206,dam,F,home,3,100_100,GenGen
190,25,5.05415162454874,dam,M,home,3,100_100,GenGen
191,24,5.94557027799428,sire,F,home,3,100_100,GenGen
192,25,8.04693140794224,sire,M,home,3,100_100,GenGen
193,25,4.05118212522733,dam,F,home,3,100_100,GenGen
194,26,4.97833935018051,dam,M,home,3,100_100,GenGen
195,25,5.87737074564822,sire,F,home,3,100_100,GenGen
196,26,7.96028880866426,sire,M,home,3,100_100,GenGen
197,26,4.06443232008314,dam,F,home,3,100_100,GenGen
198,27,4.97472924187726,dam,M,home,3,100_100,GenGen
199,26,5.97440893738633,sire,F,home,3,100_100,GenGen
200,27,8.14801444043321,sire,M,home,3,100_100,GenGen
201,27,4.13159262146012,dam,F,home,3,100_100,GenGen
202,28,5.03249097472924,dam,M,home,3,100_100,GenGen
203,27,5.88204728500909,sire,F,home,3,100_100,GenGen
204,28,8.04332129963899,sire,M,home,3,100_100,GenGen
205,28,4.11262665627436,dam,F,home,3,100_100,GenGen
206,29,4.95667870036101,dam,M,home,3,100_100,GenGen
207,28,5.79098467134321,sire,F,home,3,100_100,GenGen
208,29,7.92418772563177,sire,M,home,3,100_100,GenGen
209,29,4.12613665887244,dam,F,home,3,100_100,GenGen
210,30,4.985559566787,dam,M,home,3,100_100,GenGen
211,29,5.79488178747727,sire,F,home,3,100_100,GenGen
212,30,8,sire,M,home,3,100_100,GenGen
213,30,4.13211223694466,dam,F,home,3,100_100,GenGen
214,31,4.99638989169675,dam,M,home,3,100_100,GenGen
215,30,5.73044946739413,sire,F,home,3,100_100,GenGen
216,31,7.94584837545126,sire,M,home,3,100_100,GenGen
217,31,4.07989088074825,dam,F,home,3,100_100,GenGen
218,32,5.01083032490975,dam,M,home,3,100_100,GenGen
219,31,5.96050922317485,sire,F,home,3,100_100,GenGen
220,32,7.9783393501805,sire,M,home,3,100_100,GenGen
221,32,4.07820213042349,dam,F,home,3,100_100,GenGen
222,33,4.94945848375451,dam,M,home,3,100_100,GenGen
223,32,5.94154325798909,sire,F,home,3,100_100,GenGen
224,33,7.87364620938628,sire,M,home,3,100_100,GenGen
225,33,4.09677838399584,dam,F,home,3,100_100,GenGen
226,34,4.97472924187726,dam,M,home,3,100_100,GenGen
227,33,5.89633671083398,sire,F,home,3,100_100,GenGen
228,34,7.7942238267148,sire,M,home,3,100_100,GenGen
229,34,4.08846453624318,dam,F,home,3,100_100,GenGen
230,35,4.95306859205776,dam,M,home,3,100_100,GenGen
231,34,5.84112756560145,sire,F,home,3,100_100,GenGen
232,35,7.94223826714801,sire,M,home,3,100_100,GenGen
233,35,4.09664848012471,dam,F,home,3,100_100,GenGen
234,36,5.00361010830325,dam,M,home,3,100_100,GenGen
235,35,5.8398285268901,sire,F,home,3,100_100,GenGen
236,36,8.07220216606498,sire,M,home,3,100_100,GenGen
