Generation Group variable value sd var SDSt zMean zMean_noC Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
20 home gvNormUnres1 -0.11395351400162 1.4819881799688 2.19628896556725 1 0 -0.0768923231250192 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres1 0.971584159721632 1.44508533135079 2.08827161488522 0.975099093827597 0.732487403338199 0.65559508021318 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres1 0.9342310007336 1.45746159010576 2.12419428663361 0.983450212225336 0.707282641591166 0.630390318466147 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres1 0.937964636056076 1.43346535459418 2.05482292282182 0.967258291239782 0.709801983764702 0.632909660639683 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres1 1.33023429733605 1.43815054309507 2.06827698460465 0.970419712204011 0.974493474953407 0.897601151828387 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres1 1.42246203425873 1.45958421266944 2.13038607387387 0.984882492585175 1.03672591254587 0.959833589420849 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres1 1.74754035734222 1.40725994689763 1.98038055814231 0.949575688874422 1.25607875724287 1.17918643411785 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres1 1.89144890840111 1.3980391572669 1.95451348525155 0.943353783898824 1.35318381719141 1.27629149406639 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres1 2.26589547890597 1.35115422593213 1.82561774225425 0.911717275613205 1.60584883541898 1.52895651229396 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres1 2.2285987054813 1.39649966397762 1.95021131148961 0.942314981221387 1.58068212091424 1.50378979778922 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres1 2.43117658473081 1.35892848471109 1.84668662655917 0.916963106102298 1.71737543735741 1.64048311423239 SU55 GenGen 0 NA 3 NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres1 3.11681539036333 1.38528999869396 1.9190283804815 0.934751044183845 2.18002339562045 2.10313107249543 SU55 GenGen 0 2.58261721673376 3 1.60705233789499 NA NA NA NA NA NA NA 100_100
32 home gvNormUnres1 3.27530563007095 1.34272920531795 1.80292171881378 0.906032331071776 2.28696773016362 2.2100754070386 SU55 GenGen 0 2.58751480735138 3 1.60857539685008 NA NA NA NA NA NA NA 100_100
33 home gvNormUnres1 3.49448781696634 1.38602029918762 1.92105226976015 0.93524382847426 2.43486512223324 2.35797279910822 SU55 GenGen 0 2.59375445375491 3 1.61051372355373 NA NA NA NA NA NA NA 100_100
34 home gvNormUnres1 3.95904190213365 1.42787208655758 2.0388186955703 0.963484126160601 2.74833191734431 2.67143959421929 SU55 GenGen 0 2.58112426705597 3 1.60658777135143 NA NA NA NA NA NA NA 100_100
35 home gvNormUnres1 4.26825136143817 1.44549056699803 2.08944297928028 0.975372534366946 2.9569769412952 2.88008461817018 SU55 GenGen 0 2.57841443176114 3 1.6057441987319 NA NA NA NA NA NA NA 100_100
36 home gvNormUnres1 4.73944303416186 1.46276888077734 2.1396927985706 0.98703140858258 3.27492257614744 3.19803025302242 SU55 GenGen 0 2.57272618343765 3 1.60397200207412 NA NA NA NA NA NA NA 100_100
37 home gvNormUnres1 5.13481009669426 1.41398219268389 1.99934564122713 0.954111653382857 3.54170409834603 3.46481177522101 SU55 GenGen 0 2.55852186810607 3 1.59953801708683 NA NA NA NA NA NA NA 100_100
38 home gvNormUnres1 5.33720858796683 1.40703077848636 1.97973561160793 0.949421053085577 3.67827636930491 3.6013840461799 SU55 GenGen 0 2.55367507857518 3 1.5980222396998 NA NA NA NA NA NA NA 100_100
39 home gvNormUnres1 5.68036801191616 1.39894784803178 1.95705508151275 0.943966940452405 3.90982978422929 3.83293746110427 SU55 GenGen 0 2.54704599638713 3 1.59594673983411 NA NA NA NA NA NA NA 100_100
40 home gvNormUnres1 5.94700665132374 1.38424766331276 1.91614159338684 0.934047708357499 4.08974932948045 4.01285700635543 SU55 GenGen 0 2.53665337828187 3 1.5926874703726 NA NA NA NA NA NA NA 100_100
