scenario,Group,Generation,gvNormUnres1,gvNormUnres3
0_100,home,35,8.31614393405,6.830910331
0_100,home,36,6.54411941346,5.55383540188
0_100,home,37,6.5587600272375,5.0280509651875
0_100,home,38,6.73194085546,5.05332647896
0_100,home,39,7.21381045472,5.07058664444
0_100,home,40,6.923232174920001,5.276941227459999
0_100,home,41,9.11504299926,8.046880228620001
0_100,home,42,8.80293190808,7.9432983233200005
0_100,home,43,10.83630435676,10.06999217412
0_100,home,44,10.177630124299998,9.61742099522
0_100,home,45,9.988602961079998,10.27604210012
0_100,home,46,11.21794333018,10.336378350499999
0_100,home,47,10.20866147048,9.38463182068
0_100,home,48,10.961515072380001,10.414627137120002
0_100,home,49,11.34177197404,10.60056574218
0_100,home,50,12.020943833439999,11.80146524816
0_100,home,51,12.06102361174,11.200039670859999
0_100,home,52,12.7970177723,12.596233284779998
0_100,home,53,12.574616866399998,11.9625277786
0_100,home,54,12.7979609546,12.86620196286
0_100,home,55,13.125163597439998,12.219997028440002
0_100,home,56,13.10212997488,12.98268737962
0_100,home,57,13.53043796098,13.784701818140002
0_100,home,58,15.06887633764,14.509453821940003
0_100,import,35,7.861155952739999,8.69788398008
0_100,import,36,7.287890505000002,8.6118776083
0_100,import,37,7.441101888380001,8.192457425
0_100,import,38,7.63528720052,9.15556564196
0_100,import,39,7.370260498319999,8.61055920374
0_100,import,40,8.47537756062,10.188608109359999
0_100,import,41,9.1658440944,10.68549059366
0_100,import,42,8.9305941706,10.1811317523
0_100,import,43,9.632591453440002,11.4354152387
0_100,import,44,9.68201869632,10.85452295582
0_100,import,45,9.64466627286,11.58523345372
0_100,import,46,10.856254671399999,12.33059826036
0_100,import,47,10.8994610969,12.37321165748
0_100,import,48,10.76341663498,11.700217429599999
0_100,import,49,11.569806638200001,12.93811123688
0_100,import,50,11.66861629816,13.349393648340001
0_100,import,51,11.65930570578,13.493069691559999
0_100,import,52,11.15049854676,13.21330362304
0_100,import,53,11.9884456759,14.55728251716
0_100,import,54,12.32297393256,14.265728715719998
0_100,import,55,12.99107500366,14.788353745200002
0_100,import,56,13.296539824720004,14.254647725020002
0_100,import,57,13.64964187036,15.481326657279999
0_100,import,58,12.162757171900001,15.334058831160002
100_100,home,35,8.31614393405,6.830910331
100_100,home,36,6.54411941346,5.55383540188
100_100,home,37,6.5587600272375,5.0280509651875
100_100,home,38,6.73194085546,5.05332647896
100_100,import,35,7.176416276699999,8.23994886458
100_100,import,36,7.3777169779600005,8.132685054480001
100_100,import,37,6.832609825779999,8.20163002512
100_100,import,38,8.35905183038,9.976907419699998
100_100,import,39,7.80523255838,8.90941753774
100_100,import,40,7.057240976780001,8.16907998922
100_100,import,41,9.172260018900001,10.34060549292
100_100,import,42,8.97797754774,10.28875830734
100_100,import,43,9.20160474452,10.88611612458
100_100,import,44,9.49875023394,10.98067855312
100_100,import,45,9.6756797767,11.71577130396
100_100,import,46,9.680786683300001,11.078375637339999
100_100,import,47,9.38591157858,11.54439649536
100_100,import,48,10.02735076262,12.54801573344
100_100,import,49,10.63553804692,12.007459470579999
100_100,import,50,11.374728866340002,12.875850379380001
100_100,import,51,11.43857180964,13.7006197306
100_100,import,52,11.3983946419,13.44308238264
100_100,import,53,11.29701970932,13.49851152878
100_100,import,54,12.96949817944,14.376594661800002
100_100,import,55,12.73341251522,14.916966917279998
100_100,import,56,12.81849017394,15.231074883600002
100_100,import,57,13.155135286679998,15.328463272940002
100_100,import,58,13.70789103388,15.676783491519998
10_10,home,35,8.31614393405,6.830910331
10_10,home,36,6.54411941346,5.55383540188
10_10,home,37,6.5587600272375,5.0280509651875
10_10,home,38,6.73194085546,5.05332647896
10_10,home,39,7.21381045472,5.07058664444
10_10,home,40,6.923232174920001,5.276941227459999
10_10,home,41,8.803811035999999,6.63507811904
10_10,home,42,9.524101013880001,7.33073048558
10_10,home,43,8.86723396276,6.50859634862
10_10,home,44,9.471141993020002,7.17550886234
10_10,home,45,10.63816544972,8.567513866439999
10_10,home,46,10.69120010568,7.894415477039999
10_10,home,47,11.87110895088,10.24130201448
10_10,home,48,10.60232162674,7.75313641106
10_10,home,49,11.552328443579999,9.9697398269
10_10,home,50,11.33222060026,8.787713506520001
10_10,home,51,11.973064114740001,9.249295362180002
10_10,home,52,13.70660816578,10.4824308557
10_10,home,53,13.09257860614,10.69779481406
10_10,home,54,13.45071725052,10.95146805106
10_10,home,55,11.921698903000001,9.42988915606
10_10,home,56,13.44083641432,11.7657641308
10_10,home,57,13.47967590016,10.47443826498
10_10,home,58,14.391999724119998,11.521108116799999
10_10,import,35,6.272721740900001,7.7080212374000014
10_10,import,36,7.6382969366,8.68449954904
10_10,import,37,7.734484842540001,8.68988686268
10_10,import,38,8.627306233959999,9.41538063112
10_10,import,39,7.743374264759998,8.73900773438
10_10,import,40,8.195288730959998,9.08380841212
10_10,import,41,9.01992330594,10.24118914418
10_10,import,42,8.81340678714,10.667151112180001
10_10,import,43,9.582520959960002,10.28797216976
10_10,import,44,8.8189632876,10.12037463238
10_10,import,45,10.52285469352,11.4785249482
10_10,import,46,9.9522909755,11.382908444300002
10_10,import,47,10.275253528719999,12.001752258859998
10_10,import,48,11.356612023219999,12.932542905759998
10_10,import,49,11.71604734628,13.111105083760004
10_10,import,50,11.022525422680001,13.150011921920001
10_10,import,51,11.385653633299999,13.113017351139998
10_10,import,52,11.96332586388,13.602048513419998
10_10,import,53,11.00247688846,13.2925331153
10_10,import,54,12.08707289254,14.303999626079996
10_10,import,55,12.023442825900002,13.93543128984
10_10,import,56,12.65685606976,15.20673342538
10_10,import,57,12.260067749480001,15.41172198768
10_10,import,58,13.502532775879999,15.294024479860003
50_50,home,35,8.31614393405,6.830910331
50_50,home,36,6.54411941346,5.55383540188
50_50,home,37,6.5587600272375,5.0280509651875
50_50,home,38,6.73194085546,5.05332647896
50_50,home,39,7.21381045472,5.07058664444
50_50,home,40,6.923232174920001,5.276941227459999
50_50,home,41,8.660774763620001,7.592608372719999
50_50,home,42,8.234021854739998,6.34435958718
50_50,home,43,9.87167419822,8.53332154618
50_50,home,44,9.10958080468,7.3777189679
50_50,home,45,9.82129074756,8.86784864818
50_50,home,46,10.7515712905,9.46955106642
50_50,home,47,10.07885862394,9.37445000238
50_50,home,48,10.21155765106,10.102043030539999
50_50,home,49,11.85800895376,11.01906720306
50_50,home,50,10.9645053625,9.912238522039999
50_50,home,51,11.252939130720002,10.500906679520002
50_50,home,52,12.26592782124,11.678167112999999
50_50,home,53,12.17638555838,11.073591384340002
50_50,home,54,13.61828949402,13.684773167199998
50_50,home,55,13.021674974980002,12.02837843394
50_50,home,56,12.18702469422,11.98756091876
50_50,home,57,13.96639849808,13.520478465579998
50_50,home,58,14.10179147066,13.41584646138
50_50,import,35,7.72714403128,8.66504260698
50_50,import,36,7.033989872219999,7.759062964579999
50_50,import,37,7.39650940648,8.57873187804
50_50,import,38,7.59911226644,8.611648632659998
50_50,import,39,8.49988885588,8.7611601405
50_50,import,40,7.08247278094,8.40172442336
50_50,import,41,9.31024420624,10.63808514064
50_50,import,42,9.09493283778,11.36003781216
50_50,import,43,10.13950365788,11.32619939428
50_50,import,44,9.94971293886,11.156490832900001
50_50,import,45,9.64514028896,11.17993460932
50_50,import,46,10.265361248420001,11.006364913839999
50_50,import,47,9.89383344644,11.875452252399999
50_50,import,48,10.465598634360001,11.754461398999997
50_50,import,49,10.163157318819998,11.70996889948
50_50,import,50,12.171476741260001,13.63160933924
50_50,import,51,12.429592201880002,13.913941754819998
50_50,import,52,10.668943418560001,12.9235657012
50_50,import,53,11.71486535964,13.755493189060001
50_50,import,54,12.256829210620001,14.387088080020002
50_50,import,55,12.51738503694,14.802929484039998
50_50,import,56,12.977431846959998,15.476572850399998
50_50,import,57,11.872799278959999,14.02328399562
50_50,import,58,13.057216016180002,15.47207172528
