Generation variable Group value sd var SDSt zMean scenario Rep Import Trait
20 gvNormUnres1 home -0.0998744302648148 1.49725396722916 2.24176944238346 1 0 Class 0 BurnIn 2
21 gvNormUnres1 home 1.04985600857639 1.436724198172 2.06417642161298 0.959572811038078 0.767892731631168 Class 0 BurnIn 2
22 gvNormUnres1 home 1.11506390020554 1.47984128256135 2.18993022157283 0.988370253110746 0.811444388902666 Class 0 BurnIn 2
23 gvNormUnres1 home 1.19968497468926 1.4586855817664 2.12776362645318 0.974240585560688 0.86796190452516 Class 0 BurnIn 2
24 gvNormUnres1 home 1.52569634115098 1.49513934095347 2.23544164886678 0.998587663601519 1.08570142874565 Class 0 BurnIn 2
25 gvNormUnres1 home 1.69791179588292 1.44247155640043 2.08072419102427 0.963411410470253 1.20072229928683 Class 0 BurnIn 2
26 gvNormUnres1 home 1.95169715182096 1.39689808394427 1.95132425692718 0.93297337293378 1.37022283927051 Class 0 BurnIn 2
27 gvNormUnres1 home 2.2484371032285 1.42286684459532 2.02455005744865 0.95031763197028 1.5684122967055 Class 0 BurnIn 2
28 gvNormUnres1 home 2.41507083634255 1.42047738558902 2.01775600296981 0.948721737714126 1.67970519474499 Class 0 BurnIn 2
29 gvNormUnres1 home 2.56321814265735 1.37913381493194 1.90201007948872 0.921108806600247 1.77865120494589 Class 0 BurnIn 2
30 gvNormUnres1 home 2.68257593317323 1.35975469960975 1.84893284311081 0.908165701591784 1.85836900374843 Class 0 BurnIn 2
20 gvNormUnres2 home -0.0205532581616435 1.45339577259064 2.11235927178433 1 0 Class 0 BurnIn 2
21 gvNormUnres2 home 0.915799389650255 1.40216965012134 1.96607972772139 0.964754182284436 0.644251665974558 Class 0 BurnIn 2
22 gvNormUnres2 home 1.01502577682009 1.42928247708512 2.04284839930258 0.983408995704911 0.712523769857845 Class 0 BurnIn 2
23 gvNormUnres2 home 0.92654240846647 1.4269247818986 2.03611433319636 0.981786798068872 0.651643333831873 Class 0 BurnIn 2
