"ZIV_ID_SEQ","DRZ_ORIG_ZIVAL","SP1_SIFRA_PASMA","ROJEN","SI_STENOT","SI_TOCNOST","SI_POPOBR","SIFRA_LAST","SI_PV12","SI_ABSPV","ZIV_ID_SEQ_1","IB_STENOR","IB_TOCNOST","IB_POPOBR","SIFRA_LAST_1","IB_PV12","IB_ABSPV"
3419380,"CH",1,"2010",26,0,87,1,165,115,8,34,24918,3419380,26,0,89,1,165,117,5,37,9256
3419380,"CH",1,"2010",26,0,87,1,168,122,5,38,34972,3419380,26,0,89,1,168,126,7,45,62672
3419380,"CH",1,"2010",26,0,87,1,198,121,5,121,13247,3419380,26,0,89,1,198,124,9,124,8816
3437111,"SI",1,"2012",63,0,94,1,79,102,1,2,01398,3437111,63,0,91,1,79,103,5,11553
3437111,"SI",1,"2012",63,0,92,1,164,103,8,208,30858,3437111,63,0,92,1,164,104,222,08287
3437111,"SI",1,"2012",63,0,91,1,165,105,3,11,3818,3437111,63,0,91,1,165,105,5,12,00054
3437111,"SI",1,"2012",63,0,92,1,168,101,6,2,74738,3437111,63,0,91,1,168,102,3,38602
3437111,"SI",1,"2012",63,0,92,1,198,102,4,102,33901,3437111,63,0,91,1,198,102,7,102,6954
3458558,"SI",1,"2012",72,0,95,1,79,102,1,2,0323,3458558,72,0,92,1,79,106,1,7,07517
3458558,"SI",1,"2012",72,0,93,1,164,110,4,577,08296,3458558,72,0,93,1,164,110,7,592,99557
3458558,"SI",1,"2012",72,0,92,1,165,106,1,13,2541,3458558,72,0,92,1,165,106,4,13,90721
3458558,"SI",1,"2012",72,0,93,1,168,107,5,12,73267,3458558,72,0,92,1,168,107,9,13,42284
3458558,"SI",1,"2012",72,0,93,1,198,107,3,107,19029,3458558,72,0,92,1,198,107,6,107,574
3116980,"SI",1,"2010",16,0,84,1,79,103,6,2,73798,3116980,16,0,76,1,79,97,2,1,35086
3116980,"SI",1,"2010",16,0,8,1,164,99,8,-12,80069,3116980,16,0,77,1,164,101,4,75,35547
3116980,"SI",1,"2010",16,0,78,1,165,105,2,11,31879,3116980,16,0,76,1,165,106,9,14,90491
3116980,"SI",1,"2010",16,0,8,1,168,104,6,88611,3116980,16,0,76,1,168,105,6,9,55018
3116980,"SI",1,"2010",16,0,8,1,198,104,4,104,27224,3116980,16,0,76,1,198,105,9,105,8518
3143322,"SI",1,"2010",50,0,94,1,79,109,8,5,69491,3143322,50,0,9,1,79,102,6,4,84165
3143322,"SI",1,"2010",50,0,92,1,164,109,8,540,95252,3143322,50,0,91,1,164,109,8,544,30774
3143322,"SI",1,"2010",50,0,91,1,165,108,9,19,15346,3143322,50,0,9,1,165,108,8,19,13377
3143322,"SI",1,"2010",50,0,92,1,168,110,1,17,22175,3143322,50,0,9,1,168,110,1,17,32453
3143322,"SI",1,"2010",50,0,92,1,198,110,109,83867,3143322,50,0,9,1,198,109,9,109,885
3223045,"SI",1,"2011",37,0,92,1,79,115,9,8,62699,3223045,37,0,88,1,79,115,9,13,39934
3223045,"SI",1,"2011",37,0,9,1,164,122,2,1226,80921,3223045,37,0,89,1,164,122,4,1241,53952
3223045,"SI",1,"2011",37,0,89,1,165,121,2,45,92255,3223045,37,0,87,1,165,121,5,46,52183
3223045,"SI",1,"2011",37,0,9,1,168,122,2,37,88273,3223045,37,0,88,1,168,122,5,38,34414
3223045,"SI",1,"2011",37,0,9,1,198,122,4,121,99244,3223045,37,0,88,1,198,122,3,122,264
3246823,"SI",1,"2011",74,0,95,1,79,118,9,66794,3246823,74,0,93,1,79,109,8,95983
3246823,"SI",1,"2011",74,0,94,1,164,113,9,768,90298,3246823,74,0,94,1,164,114,771,92332
3246823,"SI",1,"2011",74,0,93,1,165,125,4,54,89048,3246823,74,0,93,1,165,125,5,55,12023
3246823,"SI",1,"2011",74,0,94,1,168,117,8,30,34402,3246823,74,0,93,1,168,117,9,30,49465
3246823,"SI",1,"2011",74,0,94,1,198,119,6,119,28919,3246823,74,0,93,1,198,119,4,119,381
3267874,"SI",1,"2011",49,0,94,1,79,114,3,7,85479,3267874,49,0,9,1,79,107,6,8,0378
3267874,"SI",1,"2011",49,0,92,1,164,106,7,371,09255,3267874,49,0,91,1,164,106,6,367,53775
3267874,"SI",1,"2011",49,0,91,1,165,115,7,33,9425,3267874,49,0,9,1,165,115,6,33,80494
3267874,"SI",1,"2011",49,0,92,1,168,114,1,24,02944,3267874,49,0,9,1,168,114,23,87117
3267874,"SI",1,"2011",49,0,92,1,198,114,7,114,39486,3267874,49,0,9,1,198,114,3,114,308
3301386,"SI",1,"2011",42,0,93,1,79,110,6,6,10616,3301386,42,0,89,1,79,107,7,66341
3301386,"SI",1,"2011",42,0,91,1,164,116,2,894,98124,3301386,42,0,9,1,164,116,3,904,37634
3301386,"SI",1,"2011",42,0,9,1,165,119,1,41,32687,3301386,42,0,89,1,165,119,4,41,9099
3301386,"SI",1,"2011",42,0,9,1,168,118,1,30,93836,3301386,42,0,89,1,168,118,3,31,31768
3301386,"SI",1,"2011",42,0,9,1,198,118,6,118,3142,3301386,42,0,89,1,198,118,5,118,5458
3325845,"SI",1,"2011",55,0,93,1,79,105,4,3,61539,3325845,55,0,9,1,79,108,1,8,39888
3325845,"SI",1,"2011",55,0,92,1,164,110,7,591,82514,3325845,55,0,91,1,164,110,9,604,22696
3325845,"SI",1,"2011",55,0,9,1,165,100,2,0,46795,3325845,55,0,9,1,165,100,4,0,87001
3325845,"SI",1,"2011",55,0,91,1,168,109,6,16,33496,3325845,55,0,9,1,168,110,17,05303
3325845,"SI",1,"2011",55,0,91,1,198,107,8,107,69642,3325845,55,0,9,1,198,108,1,108,07
3347794,"SI",1,"2011",36,0,91,1,79,112,6,75201,3347794,36,0,87,1,79,107,1,7,73121
3347794,"SI",1,"2011",36,0,89,1,164,110,1,558,67098,3347794,36,0,88,1,164,110,2,561,84643
3347794,"SI",1,"2011",36,0,88,1,165,120,5,44,36393,3347794,36,0,87,1,165,120,5,44,42471
3347794,"SI",1,"2011",36,0,88,1,168,109,4,16,02617,3347794,36,0,87,1,168,109,5,16,20269
3347794,"SI",1,"2011",36,0,88,1,198,111,8,111,60828,3347794,36,0,87,1,198,111,7,111,6966
3351407,"SI",1,"2011",54,0,94,1,79,114,1,7,7933,3351407,54,0,91,1,79,112,10,87533
3351407,"SI",1,"2011",54,0,92,1,164,102,2,119,15571,3351407,54,0,91,1,164,102,4,132,56367
3351407,"SI",1,"2011",54,0,91,1,165,102,6,5,62407,3351407,54,0,9,1,165,102,8,6,11173
3351407,"SI",1,"2011",54,0,92,1,168,106,6,11,30611,3351407,54,0,91,1,168,107,12,03462
3351407,"SI",1,"2011",54,0,92,1,198,105,9,105,81681,3351407,54,0,91,1,198,106,2,106,2032
3535933,"SI",1,"2012",32,0,88,1,79,116,2,8,77767,3535933,32,0,84,1,79,114,1,12,21704
3535933,"SI",1,"2012",32,0,86,1,164,112,3,682,21497,3535933,32,0,85,1,164,112,7,701,27065
3535933,"SI",1,"2012",32,0,84,1,165,103,6,7,77126,3535933,32,0,83,1,165,104,2,9,02691
3535933,"SI",1,"2012",32,0,85,1,168,113,2,22,47517,3535933,32,0,84,1,168,113,7,23,45966
3535933,"SI",1,"2012",32,0,85,1,198,111,5,111,24812,3535933,32,0,84,1,198,111,8,111,8254
3604230,"SI",1,"2012",15,0,76,1,164,110,8,595,24567,3604230,15,0,74,1,164,111,8,650,59105
3604230,"SI",1,"2012",15,0,73,1,165,114,8,31,92606,3604230,15,0,71,1,165,115,8,34,17286
3604230,"SI",1,"2012",15,0,75,1,168,110,4,17,73271,3604230,15,0,72,1,168,111,5,19,68433
3604230,"SI",1,"2012",15,0,75,1,198,111,5,111,25841,3604230,15,0,72,1,198,112,4,112,3804
3643376,"SI",1,"2013",20,0,79,1,164,115,5,858,33709,3643376,20,0,77,1,164,115,8,874,99766
3643376,"SI",1,"2013",20,0,76,1,165,110,6,22,97195,3643376,20,0,73,1,165,111,2,24,31272
3643376,"SI",1,"2013",20,0,78,1,168,122,2,37,95463,3643376,20,0,75,1,168,122,7,38,82224
3643376,"SI",1,"2013",20,0,78,1,198,120,3,119,9052,3643376,20,0,75,1,198,120,4,120,4356
