,Category,EBVGen,Cor,Group,Scenario,Rep,Generation
2,Male candidates,EBV38,0.8820550498728446,home,10_10,0,38
3,Male candidates1,EBV38,0.021458411408021506,home,10_10,0,38
4,Mothers,EBV38,0.5348633734056637,home,10_10,0,38
0,Fathers,EBV39,0.9377602160345258,home,10_10,0,39
1,Female candidates,EBV39,0.3733786482849256,home,10_10,0,39
2,Male candidates,EBV39,0.9472919999431015,home,10_10,0,39
3,Male candidates1,EBV39,0.2894992572431117,home,10_10,0,39
4,Mothers,EBV39,0.5384265171651678,home,10_10,0,39
0,Fathers,EBV40,0.8909777834616935,home,10_10,0,40
1,Female candidates,EBV40,0.3669210518124194,home,10_10,0,40
2,Male candidates,EBV40,0.9743826293902755,home,10_10,0,40
3,Male candidates1,EBV40,0.30716305450024417,home,10_10,0,40
4,Mothers,EBV40,0.539135356457938,home,10_10,0,40
0,Fathers,EBV41,0.6341119655913251,home,10_10,0,41
1,Female candidates,EBV41,0.5214042411648148,home,10_10,0,41
2,Male candidates,EBV41,0.645874930427106,home,10_10,0,41
3,Mothers,EBV41,0.7822530425006387,home,10_10,0,41
0,Fathers,EBV42,0.8198718718887533,home,10_10,0,42
1,Female candidates,EBV42,0.3758156111264092,home,10_10,0,42
2,Male candidates,EBV42,0.8035081064232321,home,10_10,0,42
3,Mothers,EBV42,0.743399802811844,home,10_10,0,42
0,Fathers,EBV43,0.9533044335876516,home,10_10,0,43
1,Female candidates,EBV43,0.39110307151956103,home,10_10,0,43
2,Male candidates,EBV43,0.76083961154835,home,10_10,0,43
3,Mothers,EBV43,0.7076307622667984,home,10_10,0,43
0,Fathers,EBV44,0.9152246180804232,home,10_10,0,44
1,Female candidates,EBV44,0.46257033018618704,home,10_10,0,44
2,Male candidates,EBV44,0.8110861812766635,home,10_10,0,44
3,Mothers,EBV44,0.6760180443886581,home,10_10,0,44
0,Fathers,EBV45,0.8620493062899847,home,10_10,0,45
1,Female candidates,EBV45,0.4491177011385388,home,10_10,0,45
2,Male candidates,EBV45,0.858831814516574,home,10_10,0,45
3,Mothers,EBV45,0.679453983347191,home,10_10,0,45
0,Fathers,EBV46,0.904761869169816,home,10_10,0,46
1,Female candidates,EBV46,0.4112245843520716,home,10_10,0,46
2,Male candidates,EBV46,0.7364641501923335,home,10_10,0,46
3,Mothers,EBV46,0.6935353418442511,home,10_10,0,46
0,Fathers,EBV47,0.8239107603578226,home,10_10,0,47
1,Female candidates,EBV47,0.41783949760724226,home,10_10,0,47
2,Male candidates,EBV47,0.7394782524701345,home,10_10,0,47
3,Mothers,EBV47,0.7108735226614602,home,10_10,0,47
