Generation variable Group value sd var SDSt zMean scenario Rep Import
37 gvNormUnres1 import 5.09889389230381 1.44644046245813 2.09219001143608 0.919355196115481 3.05965423896398 Class 0 100
38 gvNormUnres1 import 5.36829311299634 1.44377507505072 2.08448646733772 0.917661080231518 3.23088394374716 Class 0 100
39 gvNormUnres1 import 5.5393453031177 1.45261157119269 2.11008037676289 0.923277542750663 3.33960443648542 Class 0 100
40 gvNormUnres1 import 5.7747078836251 1.42357662988704 2.02657042116056 0.904822981466552 3.48920050834371 Class 0 100
20 gvNormUnres3 import 0.14683351113662 1.55359240152598 2.41364935007926 1 0 Class 0 100
21 gvNormUnres3 import 2.40097053658285 1.38769777547611 1.92570511606133 0.893218693727564 1.45091918783341 Class 0 100
22 gvNormUnres3 import 2.1438877057791 1.4796017337898 2.18922129063379 0.952374466003114 1.28544281800099 Class 0 100
23 gvNormUnres3 import 2.51686314615362 1.36153103539983 1.85376676035695 0.876375961972073 1.52551572258534 Class 0 100
24 gvNormUnres3 import 2.88647979049598 1.44713796871709 2.09420830050262 0.931478531496209 1.76342667270283 Class 0 100
25 gvNormUnres3 import 3.15048439114282 1.42631354855835 2.03437033880112 0.918074487978564 1.93335837447192 Class 0 100
26 gvNormUnres3 import 3.43737290056569 1.42032040182259 2.01731004383348 0.914216882386598 2.11801974970849 Class 0 100
27 gvNormUnres3 import 3.66743548564486 1.37177752373452 1.88177357462322 0.882971313703084 2.26610401225586 Class 0 100
28 gvNormUnres3 import 3.96827885193227 1.37429745695212 1.88869350018507 0.884593317785444 2.45974770283513 Class 0 100
29 gvNormUnres3 import 4.18653677206585 1.38384931731078 1.9150389330215 0.890741558694238 2.60023366293586 Class 0 100
30 gvNormUnres3 import 4.47783349452753 1.38269668814021 1.91185013139389 0.889999646485194 2.78773247032934 Class 0 100
31 gvNormUnres3 import 4.74883521855807 1.36441811469635 1.86163679171155 0.878234286777011 2.96216800680876 Class 0 100
32 gvNormUnres3 import 5.06175326363037 1.33573986971155 1.78420099953702 0.8597749759844 3.16358379949991 Class 0 100
33 gvNormUnres3 import 5.29239674360593 1.32604720853561 1.75840119926509 0.853536105887962 3.31204196635823 Class 0 100
34 gvNormUnres3 import 5.55238454477411 1.3425135408686 1.80234260741554 0.864134981318102 3.47938817692981 Class 0 100
35 gvNormUnres3 import 5.76390499350928 1.32982199651227 1.76842654240789 0.855965821669883 3.61553743237636 Class 0 100
36 gvNormUnres3 import 6.09458889301258 1.33664591879471 1.78662231223055 0.860358172118903 3.82838856319966 Class 0 100
37 gvNormUnres3 import 6.3155541519184 1.33640521769527 1.78597890588314 0.86020324016944 3.97061715461707 Class 0 100
38 gvNormUnres3 import 6.62730917447245 1.32869654078808 1.76543449750221 0.855241400178708 4.17128434521856 Class 0 100
39 gvNormUnres3 import 6.87680832400688 1.32245641978948 1.74889098224242 0.851224824793511 4.33187933093641 Class 0 100
40 gvNormUnres3 import 7.15193153856969 1.30977079116389 1.71549952538609 0.843059472920567 4.50896774504849 Class 0 100
20 gvNormUnres1 home -0.809728779542141 1.81240911175691 3.28482678837946 1 0 Class 1 100
21 gvNormUnres1 home 1.52896574031318 1.52464055120066 2.32452881036545 0.841223177101946 1.29037892420892 Class 1 100
22 gvNormUnres1 home 1.34965317526565 1.57308426403929 2.47459410176804 0.867952083133361 1.19144289266706 Class 1 100
23 gvNormUnres1 home 1.16461975282057 1.63861639214745 2.68506368061433 0.904109553145545 1.0893503677262 Class 1 100
24 gvNormUnres1 home 1.42952878548257 1.64950735919924 2.72087452805244 0.910118663881712 1.23551440483216 Class 1 100
25 gvNormUnres1 home 1.54219935192015 1.6524181550594 2.73048575916991 0.911724700753455 1.29768059330842 Class 1 100
26 gvNormUnres1 home 1.84112341689938 1.63426548699987 2.67082368199892 0.901708933374127 1.46261248591486 Class 1 100
27 gvNormUnres1 home 2.14070362302964 1.58029554807575 2.49733401926804 0.87193092212158 1.62790640558616 Class 1 100
28 gvNormUnres1 home 2.43601086252378 1.62406813071823 2.63759729321459 0.896082523632809 1.79084270820046 Class 1 100
29 gvNormUnres1 home 2.5594743236684 1.5716978865611 2.47023424662062 0.867187146856447 1.85896389581959 Class 1 100
30 gvNormUnres1 home 2.86050097422818 1.66647365550257 2.77713444448411 0.919479848502381 2.02505589381665 Class 1 100
31 gvNormUnres1 home 3.07280758044071 1.59642134402172 2.54856110764812 0.880828359152416 2.1421964471472 Class 1 100
32 gvNormUnres1 home 3.25977513197074 1.56279758081582 2.44233627860379 0.862276387090598 2.24535613130305 Class 1 100
33 gvNormUnres1 home 3.33135776357943 1.59451842907909 2.54248902067286 0.87977842239681 2.28485197754678 Class 1 100
34 gvNormUnres1 home 3.51317761403443 1.56104001622715 2.43684593226247 0.861306647655241 2.38517140833951 Class 1 100
35 gvNormUnres1 home 3.82276513287223 1.61389539557345 2.6046583478532 0.890469698648217 2.55598688086695 Class 1 100
36 gvNormUnres1 home 4.19803429164509 1.56743499179485 2.45685245350293 0.864835086971848 2.76304231682704 Class 1 100
37 gvNormUnres1 home 4.39282889116852 1.55120796642529 2.4062461551013 0.855881796423761 2.8705205888462 Class 1 100
38 gvNormUnres1 home 4.58429567107742 1.55799485542357 2.42734796952632 0.859626474683351 2.97616273038416 Class 1 100
39 gvNormUnres1 home 4.89298899777822 1.50395277715798 2.2618739559212 0.829808660418885 3.14648483078541 Class 1 100
40 gvNormUnres1 home 4.94096333432479 1.47027383157146 2.16170513980382 0.81122624137892 3.17295475760015 Class 1 100
20 gvNormUnres3 home -0.86499960796713 1.68702290824429 2.84604629294102 1 0 Class 1 100
21 gvNormUnres3 home 1.1773873248242 1.50554428776822 2.26666360243151 0.892426700556819 1.2106456425757 Class 1 100
22 gvNormUnres3 home 0.79990003825772 1.52069838509312 2.31252357842483 0.901409445990119 0.986886211259299 Class 1 100
23 gvNormUnres3 home 0.763940094733507 1.56410343656879 2.44641956028629 0.92713823204486 0.965570588721821 Class 1 100
24 gvNormUnres3 home 0.95345775169919 1.56753808327333 2.45717564251221 0.929174153838069 1.07790910886848 Class 1 100
25 gvNormUnres3 home 1.07150309233208 1.55996343831899 2.43348592889201 0.924684205943872 1.14788168603742 Class 1 100
26 gvNormUnres3 home 1.29889648857144 1.56810175792518 2.45894312320802 0.929508277725241 1.28267143615173 Class 1 100
27 gvNormUnres3 home 1.59541860400454 1.51786102633469 2.30390209526579 0.899727572706378 1.4584379381856 Class 1 100
28 gvNormUnres3 home 1.73432192054437 1.53934371833831 2.36957908318762 0.912461657050248 1.54077429287351 Class 1 100
29 gvNormUnres3 home 1.80272855267142 1.51937626744686 2.30850424208074 0.900625747298296 1.58132302033462 Class 1 100
30 gvNormUnres3 home 2.11028452700581 1.5192003279569 2.30796963646436 0.900521457374849 1.76362995453889 Class 1 100
31 gvNormUnres3 home 2.09639447090567 1.51380357814841 2.29160127321492 0.897322478995762 1.75539648240744 Class 1 100
32 gvNormUnres3 home 2.38046958287008 1.48167690343245 2.19536644616518 0.878279065560798 1.92378489644508 Class 1 100
33 gvNormUnres3 home 2.41869672646269 1.48578544333132 2.20755838361524 0.880714444404076 1.94644442489949 Class 1 100
34 gvNormUnres3 home 2.50665628718782 1.50446554092789 2.26341656383944 0.89178726238733 1.998583349804 Class 1 100
35 gvNormUnres3 home 2.71062643226485 1.5545268014224 2.41655357634055 0.921461584087331 2.11948872938139 Class 1 100
36 gvNormUnres3 home 3.01358534452612 1.51253771236274 2.2877703313195 0.89657212416686 2.29907070825123 Class 1 100
37 gvNormUnres3 home 3.13007214627431 1.49850833047641 2.24552721650718 0.888256065257541 2.36811944563288 Class 1 100
38 gvNormUnres3 home 3.21340096467659 1.49398266133819 2.23198419237915 0.885573428811946 2.41751345089212 Class 1 100
39 gvNormUnres3 home 3.47958606618759 1.46204454788644 2.13757426000445 0.866641786985577 2.57529737914241 Class 1 100
40 gvNormUnres3 home 3.44403175952933 1.41379715409292 1.99882239292123 0.838042653234792 2.55422220198594 Class 1 100
20 gvNormUnres1 import -0.779780478174954 1.81358006297071 3.28907264480484 1 0 Class 1 100
21 gvNormUnres1 import 1.72620496967381 1.62182648079847 2.63032113381915 0.894267925586841 1.38178925706973 Class 1 100
22 gvNormUnres1 import 1.39529264477381 1.68189534582021 2.82877195429168 0.92738963123867 1.19932566935364 Class 1 100
23 gvNormUnres1 import 1.71040021737645 1.60293474631003 2.56939980092801 0.883851107011162 1.37307458677749 Class 1 100
24 gvNormUnres1 import 2.0402435694095 1.67256906369779 2.7974872728389 0.922247160656398 1.5549487475977 Class 1 100
25 gvNormUnres1 import 2.25968054993491 1.63374530682535 2.66912372757386 0.900839913375105 1.67594532503358 Class 1 100
26 gvNormUnres1 import 2.49251694021231 1.59109117568112 2.53157112933034 0.877320614715437 1.80433027755451 Class 1 100
27 gvNormUnres1 import 2.73355811100197 1.57032804969064 2.46593018364522 0.865871919168758 1.93723930964589 Class 1 100
28 gvNormUnres1 import 2.9759128427234 1.60037567902108 2.56120231400217 0.882440048662425 2.07087263340687 Class 1 100
29 gvNormUnres1 import 3.22196232756123 1.56788008523182 2.45824796166654 0.864522122427602 2.20654322764289 Class 1 100
30 gvNormUnres1 import 3.46243800654339 1.56208772624414 2.44011806448259 0.861328241382068 2.33914045006066 Class 1 100
31 gvNormUnres1 import 3.6761385830647 1.5868203267147 2.51799874927495 0.874965687544797 2.45697399978069 Class 1 100
32 gvNormUnres1 import 3.95205081365234 1.56579065061735 2.4517003615607 0.863370017451849 2.60911077952433 Class 1 100
33 gvNormUnres1 import 4.18054215153911 1.5467926076626 2.39256737111968 0.85289458085953 2.73509988943575 Class 1 100
34 gvNormUnres1 import 4.37180467624153 1.5338078984559 2.35256666936571 0.84573486981516 2.84056119693883 Class 1 100
35 gvNormUnres1 import 4.62291808395902 1.52439953961778 2.3237939563869 0.840547142496018 2.97902401578244 Class 1 100
36 gvNormUnres1 import 4.8099600860778 1.51481293321546 2.29465822263682 0.835261130260851 3.08215814585906 Class 1 100
37 gvNormUnres1 import 5.04165173964751 1.49993696068478 2.24981088602828 0.827058585011034 3.20991189563848 Class 1 100
38 gvNormUnres1 import 5.23800385070132 1.4885363732695 2.21574053454631 0.820772351693822 3.3181795784736 Class 1 100
39 gvNormUnres1 import 5.52068363162155 1.50418886728068 2.26258414845115 0.829403067442619 3.47404795544351 Class 1 100
40 gvNormUnres1 import 5.70089076330532 1.50651945302929 2.26960086235567 0.830688142083762 3.57341336828808 Class 1 100
20 gvNormUnres3 import -0.830451137055972 1.68086296403433 2.82530030386226 1 0 Class 1 100
21 gvNormUnres3 import 2.23189323239943 1.46860055994523 2.15678760467144 0.873718197954916 1.82188818183329 Class 1 100
22 gvNormUnres3 import 1.78190738154527 1.62690716297059 2.64682691692501 0.967899940555395 1.55417697605234 Class 1 100
23 gvNormUnres3 import 2.15811398402132 1.44482938862056 2.08753196222166 0.859575955646468 1.77799450938242 Class 1 100
24 gvNormUnres3 import 2.55047753879491 1.57091934913372 2.46778760148272 0.934590970678109 2.01142433868383 Class 1 100
25 gvNormUnres3 import 2.81496067815948 1.5407433081309 2.37388994155014 0.916638263260247 2.16877395315196 Class 1 100
26 gvNormUnres3 import 3.03865999962984 1.45966446511936 2.13062035073218 0.868401824748368 2.30185994901057 Class 1 100
27 gvNormUnres3 import 3.36518590056824 1.44051726396915 2.07508998779318 0.857010532561021 2.49612081853124 Class 1 100
28 gvNormUnres3 import 3.64813967504175 1.47441547029831 2.17390097905498 0.877177677090039 2.66445921406253 Class 1 100
29 gvNormUnres3 import 3.90742876214182 1.46291365984172 2.14011637615151 0.870334876277189 2.81871871804835 Class 1 100
30 gvNormUnres3 import 4.20659138485854 1.46111948885527 2.13487016071267 0.869267465652499 2.99670028413551 Class 1 100
31 gvNormUnres3 import 4.4988898886894 1.45478027575418 2.11638565072341 0.865496061774416 3.17059816283544 Class 1 100
32 gvNormUnres3 import 4.83563292835256 1.41104188806212 1.99103920986591 0.839474673578032 3.37093754020796 Class 1 100
33 gvNormUnres3 import 5.09259566009468 1.3965985396892 1.95048748106201 0.830881856268137 3.52381301979219 Class 1 100
34 gvNormUnres3 import 5.33796974876509 1.35188251414345 1.8275863320468 0.804278839542471 3.66979403901905 Class 1 100
35 gvNormUnres3 import 5.61859531415622 1.38646533759039 1.92228613233964 0.824853285042742 3.83674730730785 Class 1 100
36 gvNormUnres3 import 5.88767956592348 1.37065277076887 1.87868901801638 0.815445875182529 3.99683427306586 Class 1 100
37 gvNormUnres3 import 6.16128631312847 1.37059656823479 1.87853495285698 0.815412438468599 4.15961181832647 Class 1 100
38 gvNormUnres3 import 6.44299491290535 1.35125195852484 1.82588185541721 0.803903701513911 4.32720941896652 Class 1 100
39 gvNormUnres3 import 6.74141095774301 1.36363647773403 1.85950444340687 0.811271654448912 4.50474682161202 Class 1 100
40 gvNormUnres3 import 7.00955077053576 1.35117251372427 1.82566716184395 0.803856437220348 4.66427190993283 Class 1 100
20 gvNormUnres1 home -0.090436032674537 1.5175697184469 2.303017850347 1 0 Class 2 100
21 gvNormUnres1 home 1.9578049218065 1.59985565093353 2.55953810382396 1.05422217607956 1.34968491370349 Class 2 100
22 gvNormUnres1 home 1.71945284906692 1.64893143725773 2.71897488477684 1.08656058249849 1.19262321838744 Class 2 100
23 gvNormUnres1 home 1.8148657702683 1.55842127796909 2.4286768796268 1.02691906607361 1.25549540148491 Class 2 100
24 gvNormUnres1 home 1.86498241594207 1.5822983096426 2.50366794069783 1.04265279572259 1.28851968041232 Class 2 100
25 gvNormUnres1 home 2.05263938429932 1.63721942419281 2.68048744295423 1.07884297129252 1.41217592241304 Class 2 100
26 gvNormUnres1 home 2.29035340094689 1.57991757588574 2.49613954659267 1.04108401523895 1.56881717174612 Class 2 100
27 gvNormUnres1 home 2.36832265421998 1.53719879794038 2.36298014438936 1.01293454874256 1.62019487935674 Class 2 100
28 gvNormUnres1 home 2.56122504162537 1.59318703400001 2.53824492530574 1.04982790222679 1.74730758137007 Class 2 100
29 gvNormUnres1 home 2.59119373816502 1.54015745787524 2.37208499504873 1.01488415270401 1.76705540328254 Class 2 100
30 gvNormUnres1 home 2.84636388297075 1.52569432989789 2.32774318828257 1.00535369897819 1.93519933874988 Class 2 100
31 gvNormUnres1 home 3.12792683753374 1.57533023754551 2.4816653573252 1.03806119639612 2.1207347715807 Class 2 100
32 gvNormUnres1 home 3.32082769357461 1.50217421689412 2.25652737790146 0.989855160283155 2.24784646450397 Class 2 100
33 gvNormUnres1 home 3.4316799611715 1.48167703826953 2.19536684573516 0.97634857908597 2.32089237880327 Class 2 100
34 gvNormUnres1 home 3.67757658449395 1.54276121414386 2.38011216386663 1.01659989349467 2.48292554296926 Class 2 100
35 gvNormUnres1 home 3.92885290065921 1.44904644268203 2.09973559304945 0.954846703296771 2.64850364663782 Class 2 100
36 gvNormUnres1 home 4.15148812246924 1.52798267578569 2.33473105750121 1.00686160063173 2.79520874960856 Class 2 100
37 gvNormUnres1 home 4.34214986187744 1.51843186699539 2.30563533470712 1.00056811132827 2.92084498041272 Class 2 100
38 gvNormUnres1 home 4.61225084950288 1.51462248082339 2.2940812594156 0.998057922751302 3.09882756951042 Class 2 100
39 gvNormUnres1 home 4.96775924276293 1.48044964423539 2.19173114911669 0.975539789862504 3.33308922414061 Class 2 100
40 gvNormUnres1 home 5.02285559199985 1.47648670754939 2.18001299757004 0.972928419433964 3.36939487031106 Class 2 100
20 gvNormUnres3 home 0.227603924066505 1.52516514646363 2.32612872398743 1 0 Class 2 100
21 gvNormUnres3 home 1.40564068519623 1.47149428636571 2.16529543480694 0.964809804221948 0.772399476778769 Class 2 100
22 gvNormUnres3 home 1.31873652136976 1.49859767429366 2.24579498939836 0.982580593169485 0.715419310383036 Class 2 100
23 gvNormUnres3 home 1.44188585093203 1.45190104044266 2.10801663123848 0.951963165306493 0.796164225022485 Class 2 100
24 gvNormUnres3 home 1.57594680020878 1.49396176596387 2.23192175816187 0.979540982448939 0.884063525362257 Class 2 100
25 gvNormUnres3 home 1.63742848211389 1.57675555891578 2.48615809257182 1.03382611553363 0.924375016906409 Class 2 100
26 gvNormUnres3 home 2.0127252225471 1.50004183881305 2.25012551818965 0.983527483755559 1.17044459258705 Class 2 100
27 gvNormUnres3 home 2.03421242004225 1.4774100407796 2.18274042859639 0.968688567402189 1.18453303248156 Class 2 100
28 gvNormUnres3 home 2.03862871854212 1.50953936970804 2.27870910869855 0.989754698504734 1.18742865234942 Class 2 100
29 gvNormUnres3 home 2.09888206771249 1.46410546332377 2.14360480773452 0.959965198994067 1.22693476702171 Class 2 100
30 gvNormUnres3 home 2.17184457586215 1.45698516230037 2.12280576316344 0.955296654712215 1.27477385403392 Class 2 100
31 gvNormUnres3 home 2.38807784221897 1.52424141793317 2.32331190014293 0.999394341961854 1.41655080642376 Class 2 100
32 gvNormUnres3 home 2.63898735669981 1.51233369679729 2.28715321046857 0.991586845728747 1.58106382002273 Class 2 100
33 gvNormUnres3 home 2.68615434870329 1.50489004096416 2.26469403539311 0.98670628846556 1.61198964606382 Class 2 100
34 gvNormUnres3 home 2.8699986139731 1.51501393797261 2.29526723225128 0.993344190617943 1.73253020896358 Class 2 100
35 gvNormUnres3 home 3.08633891860365 1.41564263839315 2.00404407963673 0.928189738452635 1.87437734278523 Class 2 100
36 gvNormUnres3 home 3.24235996991203 1.48266586951837 2.19829808063468 0.972134639292146 1.9766751507768 Class 2 100
37 gvNormUnres3 home 3.34243289141236 1.47346629078703 2.1711029100857 0.966102781855153 2.04228963307229 Class 2 100
38 gvNormUnres3 home 3.59834925903542 1.47057081806743 2.1625785309515 0.96420431680937 2.2100854735532 Class 2 100
39 gvNormUnres3 home 3.74095474546889 1.45918972372415 2.12923464982217 0.956742112228007 2.30358714238174 Class 2 100
40 gvNormUnres3 home 3.78250748383993 1.47347813631057 2.17113781818528 0.966110548570491 2.33083188926531 Class 2 100
20 gvNormUnres1 import -0.0935725423776505 1.54409371761977 2.38422540879284 1 0 Class 2 100
21 gvNormUnres1 import 1.92757472040575 1.47106673730916 2.16403734561741 0.952705603631894 1.30895375048803 Class 2 100
22 gvNormUnres1 import 1.6845188513667 1.51381655166192 2.29164055208558 0.980391626743666 1.15154370065393 Class 2 100
23 gvNormUnres1 import 1.91321246008794 1.47705144017889 2.18168095693454 0.956581471269618 1.29965233299379 Class 2 100
24 gvNormUnres1 import 2.21310657776301 1.55271205391601 2.41091472237606 1.0055814852414 1.49387248572996 Class 2 100
25 gvNormUnres1 import 2.42960861798469 1.5160758051879 2.29848584707615 0.981854785035293 1.63408550372955 Class 2 100
26 gvNormUnres1 import 2.60636890098755 1.49824111474339 2.2447264379075 0.970304520798735 1.74856060390374 Class 2 100
27 gvNormUnres1 import 2.84316622284699 1.48367814840469 2.20130084805356 0.960873120248029 1.90191743656055 Class 2 100
28 gvNormUnres1 import 3.07625068050862 1.50999330623124 2.28007978486315 0.97791558180737 2.0528697103778 Class 2 100
29 gvNormUnres1 import 3.29119252983198 1.47996744086423 2.19030362601823 0.9584699581225 2.192072303375 Class 2 100
30 gvNormUnres1 import 3.51184547298292 1.49144702222214 2.22441422009528 0.965904468882378 2.33497356683657 Class 2 100
31 gvNormUnres1 import 3.72776394441093 1.48144049557213 2.19466594192101 0.959423951193705 2.47480864871285 Class 2 100
32 gvNormUnres1 import 4.00907409756449 1.46628820428808 2.15000109803437 0.949610886668445 2.65699328552829 Class 2 100
33 gvNormUnres1 import 4.19393388241022 1.46592394654794 2.1489330170627 0.949374982761847 2.77671385866208 Class 2 100
34 gvNormUnres1 import 4.45065735850375 1.43790463292911 2.06756973339899 0.931228860347705 2.94297544833377 Class 2 100
35 gvNormUnres1 import 4.64391603980172 1.43831566644345 2.06875195633667 0.931495057606106 3.06813539108381 Class 2 100
36 gvNormUnres1 import 4.81191749869667 1.45212502261847 2.10866708131469 0.940438398296789 3.1769380220238 Class 2 100
37 gvNormUnres1 import 5.04328157841973 1.46155025932074 2.13612916052052 0.946542455709054 3.3267761290525 Class 2 100
38 gvNormUnres1 import 5.24828397470269 1.43529751274516 2.06007895009244 0.929540413491016 3.45954164318138 Class 2 100
39 gvNormUnres1 import 5.52312075619633 1.43796897401975 2.06775477024342 0.931270529509306 3.63753393623812 Class 2 100
40 gvNormUnres1 import 5.73022801614696 1.444202725586 2.08572151259002 0.935307688326227 3.77166262129609 Class 2 100
20 gvNormUnres3 import 0.205925965095775 1.54613462400377 2.39053227554327 1 0 Class 2 100
21 gvNormUnres3 import 2.55058880719249 1.36875731720819 1.87349659341097 0.88527693252464 1.51646745742303 Class 2 100
22 gvNormUnres3 import 2.27434903381759 1.44542592860815 2.08925611509272 0.934864213094955 1.33780269622678 Class 2 100
