Strategy,Scenario,Group,Gen,Cat,Cor
ClassGen,0_100,home,40,Fathers,0.43422354268518126
ClassGen,0_100,home,40,Female candidates,-0.2661624646629093
ClassGen,0_100,home,40,Male candidates,0.3402872513916655
ClassGen,0_100,home,40,Male candidates1,0.2865726153507828
ClassGen,0_100,home,40,Mothers,-0.004969420153409796
ClassGen,0_100,home,41,Fathers,-0.021804085799770653
ClassGen,0_100,home,41,Female candidates,-0.21036877715756366
ClassGen,0_100,home,41,Male candidates,0.094054619756283
ClassGen,0_100,home,41,Mothers,0.0466868439152507
ClassGen,0_100,home,42,Fathers,0.03185139903209683
ClassGen,0_100,home,42,Female candidates,-0.19771187696950626
ClassGen,0_100,home,42,Male candidates,0.2077258315363945
ClassGen,0_100,home,42,Mothers,0.07114777515079228
ClassGen,0_100,home,43,Fathers,0.10028164428815607
ClassGen,0_100,home,43,Female candidates,-0.1101868806292899
ClassGen,0_100,home,43,Male candidates,0.14490989099080326
ClassGen,0_100,home,43,Mothers,0.07773810637485332
ClassGen,0_100,home,44,Fathers,0.11206389363234921
ClassGen,0_100,home,44,Female candidates,-0.08612460831140631
ClassGen,0_100,home,44,Male candidates,0.11782429004646305
ClassGen,0_100,home,44,Mothers,0.0779722309495788
ClassGen,0_100,home,45,Fathers,0.16247391591081162
ClassGen,0_100,home,45,Female candidates,0.016582873327647574
ClassGen,0_100,home,45,Male candidates,0.06241455897489341
ClassGen,0_100,home,45,Mothers,0.11103752247494952
ClassGen,0_100,home,46,Fathers,0.2372562699652744
ClassGen,0_100,home,46,Female candidates,0.029666001381423945
ClassGen,0_100,home,46,Male candidates,0.13699391562186786
ClassGen,0_100,home,46,Mothers,0.13797147564847392
ClassGen,0_100,home,47,Fathers,0.20156719240655296
ClassGen,0_100,home,47,Female candidates,0.006171561304175841
ClassGen,0_100,home,47,Male candidates,0.19829569589836707
ClassGen,0_100,home,47,Mothers,0.17697874512862333
ClassGen,0_100,home,48,Fathers,0.17579051524431435
ClassGen,0_100,home,48,Female candidates,0.021885248325178783
ClassGen,0_100,home,48,Male candidates,0.25176945341355944
ClassGen,0_100,home,48,Mothers,0.21437615589489017
ClassGen,0_100,home,49,Fathers,0.16773450103909818
ClassGen,0_100,home,49,Female candidates,0.061206965769001365
ClassGen,0_100,home,49,Male candidates,0.2297318187621253
ClassGen,0_100,home,49,Mothers,0.2459624502680117
ClassGen,0_100,home,50,Fathers,0.12348358052419331
ClassGen,0_100,home,50,Female candidates,0.06212431744476131
ClassGen,0_100,home,50,Male candidates,0.3005404511853173
ClassGen,0_100,home,50,Mothers,0.25184549239497483
ClassGen,0_100,import,21,Fathers,-0.07318272505093446
ClassGen,0_100,import,21,Female candidates,0.03933311616034808
ClassGen,0_100,import,21,Male candidates,0.03847124030561002
ClassGen,0_100,import,21,Male candidates1,-0.07879778972412073
ClassGen,0_100,import,21,Mothers,0.1884914529450766
ClassGen,0_100,import,22,Fathers,-0.03643281017812089
