Group,Scenario,Generation,Category,Cor
home,0_100,49,Female candidates,0.459325974483
home,0_100,49,Male candidates,0.639776051763
home,0_100,49,Mothers,0.702583666582
home,0_100,50,Fathers,0.635287277549
home,0_100,50,Female candidates,0.430430043395
home,0_100,50,Male candidates,0.623025953998
home,0_100,50,Mothers,0.691891896117
home,0_100,51,Fathers,0.756677672238
home,0_100,51,Female candidates,0.428718100908
home,0_100,51,Male candidates,0.618609980802
home,0_100,51,Mothers,0.688309417057
home,0_100,52,Fathers,0.739116509919
home,0_100,52,Female candidates,0.442631878304
home,0_100,52,Male candidates,0.693349614628
home,0_100,52,Mothers,0.678451828424
home,0_100,53,Fathers,0.724465431389
home,0_100,53,Female candidates,0.448528264142
home,0_100,53,Male candidates,0.670457479985
home,0_100,53,Mothers,0.677139016205
home,0_100,54,Fathers,0.72508418604
home,0_100,54,Female candidates,0.440453542456
home,0_100,54,Male candidates,0.667257491773
home,0_100,54,Mothers,0.67844946776
home,0_100,55,Fathers,0.649538666144
home,0_100,55,Female candidates,0.435184835835
home,0_100,55,Male candidates,0.669366189802
home,0_100,55,Mothers,0.684222493761
home,0_100,56,Fathers,0.716014387268
home,0_100,56,Female candidates,0.456465628631
home,0_100,56,Male candidates,0.715919846623
home,0_100,56,Mothers,0.680152089775
home,0_100,57,Fathers,0.786934270636
home,0_100,57,Female candidates,0.445275113213
home,0_100,57,Male candidates,0.634486414084
home,0_100,57,Mothers,0.688145645563
home,0_100,58,Fathers,0.688230759655
home,0_100,58,Female candidates,0.465449604528
home,0_100,58,Male candidates,0.722895027443
home,0_100,58,Mothers,0.691857754139
home,0_100,59,Fathers,0.726009102318
home,0_100,59,Female candidates,0.44257040475
home,0_100,59,Male candidates,0.651284562028
home,0_100,59,Mothers,0.688512958247
home,0_100,60,Fathers,0.750927630825
home,0_100,60,Female candidates,0.452550396661
home,0_100,60,Male candidates,0.727941567171
home,0_100,60,Mothers,0.690531744925
home,0_100,60,izl,0.00154323918867
home,100_100,21,Fathers,-0.232838857528
home,100_100,21,Female candidates,0.139775330168
home,100_100,21,Male candidates,0.136372217876
home,100_100,21,Male candidates1,0.018310097116
home,100_100,21,Mothers,0.376828730284
home,100_100,22,Fathers,-0.031663255626
home,100_100,22,Female candidates,0.136157167934
home,100_100,22,Male candidates,0.0791004489231
home,100_100,22,Male candidates1,-0.125518058034
home,100_100,22,Mothers,0.442969155111
home,100_100,23,Fathers,0.0962541069936
home,100_100,23,Female candidates,0.226703519232
home,100_100,23,Male candidates,0.0561513299818
home,100_100,23,Male candidates1,0.0703645795922
home,100_100,23,Mothers,0.525858228051
home,100_100,24,Fathers,0.560851308253
home,100_100,24,Female candidates,0.368808715682
home,100_100,24,Male candidates,0.842814714818
home,100_100,24,Male candidates1,0.325455852481
home,100_100,24,Mothers,0.641258155825
home,100_100,25,Fathers,0.676783339994
home,100_100,25,Female candidates,0.424856246947
home,100_100,25,Male candidates,0.920438808186
home,100_100,25,Male candidates1,0.418781661676
home,100_100,25,Mothers,0.648086689826
home,100_100,26,Fathers,0.768216866106
home,100_100,26,Female candidates,0.421692353943
home,100_100,26,Male candidates,0.926113464738
home,100_100,26,Male candidates1,0.231680136634
home,100_100,26,Mothers,0.623172220007
home,100_100,27,Fathers,0.870797605045
home,100_100,27,Female candidates,0.422422944753
home,100_100,27,Male candidates,0.934720742645
home,100_100,27,Male candidates1,0.147463737473
home,100_100,27,Mothers,0.572267184572
home,100_100,28,Fathers,0.905856398745
home,100_100,28,Female candidates,0.387879435951
home,100_100,28,Male candidates,0.95203787317
home,100_100,28,Male candidates1,0.396974068939
home,100_100,28,Mothers,0.587996278707
home,100_100,29,Fathers,0.921081010223
home,100_100,29,Female candidates,0.409550975783
home,100_100,29,Male candidates,0.900098780614
home,100_100,29,Male candidates1,0.309121426895
home,100_100,29,Mothers,0.583048996055
home,100_100,30,Fathers,0.892735489518
home,100_100,30,Female candidates,0.424866392293
home,100_100,30,Male candidates,0.886872895324
home,100_100,30,Male candidates1,0.415438632293
home,100_100,30,Mothers,0.577070327289
home,100_100,31,Fathers,0.814460829565
home,100_100,31,Female candidates,0.431053015756
home,100_100,31,Male candidates,0.893902651758
home,100_100,31,Male candidates1,0.387147193265
home,100_100,31,Mothers,0.574414090809
home,100_100,32,Fathers,0.777779852205
home,100_100,32,Female candidates,0.399160071074
home,100_100,32,Male candidates,0.940362420297
home,100_100,32,Male candidates1,0.206322454083
