Generation Group variable value sd var SDSt zMean zMean_noC Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
20 home gvNormUnres1 -0.0998744302648148 1.49725396722916 2.24176944238346 1 0 -0.0667050697148219 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres1 1.04985600857639 1.436724198172 2.06417642161298 0.959572811038078 0.767892731631168 0.701187661916346 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres1 1.11506390020554 1.47984128256135 2.18993022157283 0.988370253110746 0.811444388902666 0.744739319187844 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres1 1.19968497468926 1.4586855817664 2.12776362645318 0.974240585560688 0.86796190452516 0.801256834810338 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres1 1.52569634115098 1.49513934095347 2.23544164886678 0.998587663601519 1.08570142874565 1.01899635903083 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres1 1.69791179588292 1.44247155640043 2.08072419102427 0.963411410470253 1.20072229928683 1.13401722957201 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres1 1.95169715182096 1.39689808394427 1.95132425692718 0.93297337293378 1.37022283927051 1.30351776955569 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres1 2.2484371032285 1.42286684459532 2.02455005744865 0.95031763197028 1.5684122967055 1.50170722699068 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres1 2.41507083634255 1.42047738558902 2.01775600296981 0.948721737714126 1.67970519474499 1.61300012503016 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres1 2.56321814265735 1.37913381493194 1.90201007948872 0.921108806600247 1.77865120494589 1.71194613523107 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres1 2.68257593317323 1.35975469960975 1.84893284311081 0.908165701591784 1.85836900374843 1.79166393403361 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres1 3.35095445458436 1.38293696745573 1.91251465595564 0.923648891720761 2.30477190936106 2.23806683964624 SU55 ClassGen 0 2.61279174174505 2 1.61641323359624 NA NA NA NA NA NA NA 100_100
32 home gvNormUnres1 3.55581127259971 1.36541457271791 1.86435695539043 0.911945870642616 2.44159359926746 2.37488852955264 SU55 ClassGen 0 2.62135281090566 2 1.61905923637947 NA NA NA NA NA NA NA 100_100
33 home gvNormUnres1 3.7756388262874 1.39547118567149 1.94733983003939 0.9320203627538 2.58841408430147 2.52170901458665 SU55 ClassGen 0 2.62089090234608 2 1.61891658288686 NA NA NA NA NA NA NA 100_100
34 home gvNormUnres1 4.02989723962417 1.42799022477623 2.03915608205647 0.953739483101113 2.75823057429034 2.69152550457552 SU55 ClassGen 0 2.61802472226171 2 1.61803112524503 NA NA NA NA NA NA NA 100_100
35 home gvNormUnres1 4.43396344247204 1.38421588908348 1.91605362759118 0.924503069873399 3.02810209354612 2.9613970238313 SU55 ClassGen 0 2.61255526727382 2 1.61634008403981 NA NA NA NA NA NA NA 100_100
36 home gvNormUnres1 4.79028962344118 1.39740894913567 1.95275177112447 0.933314574361581 3.26608855994939 3.19938349023457 SU55 ClassGen 0 2.60824800025918 2 1.61500712080758 NA NA NA NA NA NA NA 100_100
37 home gvNormUnres1 5.09487642994411 1.4287422826825 2.04130451032479 0.954241774577861 3.46951884844386 3.40281377872904 SU55 ClassGen 0 2.60750042797706 2 1.61477565871457 NA NA NA NA NA NA NA 100_100
38 home gvNormUnres1 5.32579338910867 1.41406244148756 1.99957258842575 0.944437264777758 3.62374582944956 3.55704075973474 SU55 ClassGen 0 2.60024049839298 2 1.6125261233211 NA NA NA NA NA NA NA 100_100
39 home gvNormUnres1 5.59981548898274 1.40583902998794 1.97638337823742 0.938944935700923 3.8067622754712 3.74005720575638 SU55 ClassGen 0 2.59415109859379 2 1.61063686118063 NA NA NA NA NA NA NA 100_100
40 home gvNormUnres1 5.90875588166598 1.45622471261255 2.12059041362349 0.9725969972265 4.013100277871 3.94639520815618 SU55 ClassGen 0 2.59459205030948 2 1.61077374274275 NA NA NA NA NA NA NA 100_100
41 home gvNormUnres1 6.28976748952949 1.42183806247581 2.02162347590498 0.949630519334731 4.26757387834414 4.20086880862932 SU55 ClassGen 0 2.58120820839569 2 1.60661389524543 NA NA NA NA NA NA NA 100_100
42 home gvNormUnres1 6.48975280616009 1.40295000230115 1.96826870895681 0.937015384836465 4.40114194428869 4.33443687457387 SU55 ClassGen 0 2.57404244626581 2 1.60438226313613 NA NA NA NA NA NA NA 100_100
43 home gvNormUnres1 6.95583216641468 1.41667557033967 2.00696967159722 0.946182545744987 4.71243139180782 4.645726322093 SU55 ClassGen 0 2.57081272971875 2 1.6033754175859 NA NA NA NA NA NA NA 100_100
44 home gvNormUnres1 7.23490266847355 1.41010498190775 1.98839606000107 0.941794119615735 4.89881961195415 4.83211454223933 SU55 ClassGen 0 2.56343789588528 2 1.60107398201497 NA NA NA NA NA NA NA 100_100
45 home gvNormUnres1 7.60359816180303 1.37592285518409 1.89316370341795 0.918964240736256 5.14506741052355 5.07836234080873 SU55 ClassGen 0 2.55256020793533 2 1.59767337335744 NA NA NA NA NA NA NA 100_100
46 home gvNormUnres1 7.93654602165272 1.38024333703876 1.90507166943988 0.921849844614574 5.36743974490169 5.30073467518687 SU55 ClassGen 0 2.54381723164565 2 1.59493486752458 NA NA NA NA NA NA NA 100_100
47 home gvNormUnres1 8.15929420941029 1.39132976466942 1.93579851405508 0.929254351714452 5.51621089036728 5.44950582065245 SU55 ClassGen 0 2.54015543308285 2 1.59378650800001 NA NA NA NA NA NA NA 100_100
