Generation Group variable value sd var SDSt SDSt30 zMean zMean_noC zMean30 Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt SDGenicSt31 zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
20 home gvNormUnres1 -0.0998744302648148 1.49725396722916 2.24176944238346 1 1.10112064158254 0 -0.0667050697148219 -0.0734503291611926 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres1 1.04985600857639 1.436724198172 2.06417642161298 0.959572811038078 1.05660542933541 0.767892731631168 0.701187661916346 0.772092208159086 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres1 1.11506390020554 1.47984128256135 2.18993022157283 0.988370253110746 1.0883148872264 0.811444388902666 0.744739319187844 0.820047836955861 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres1 1.19968497468926 1.4586855817664 2.12776362645318 0.974240585560688 1.07275641862833 0.86796190452516 0.801256834810338 0.882280440018753 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres1 1.52569634115098 1.49513934095347 2.23544164886678 0.998587663601519 1.09956548882131 1.08570142874565 1.01899635903083 1.1220379246263 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres1 1.69791179588292 1.44247155640043 2.08072419102427 0.963411410470253 1.06083219040494 1.20072229928683 1.13401722957201 1.24868977939199 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres1 1.95169715182096 1.39689808394427 1.95132425692718 0.93297337293378 1.02731623898427 1.37022283927051 1.30351776955569 1.4353303227274 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres1 2.2484371032285 1.42286684459532 2.02455005744865 0.95031763197028 1.04641436062231 1.5684122967055 1.50170722699068 1.65356082525311 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres1 2.41507083634255 1.42047738558902 2.01775600296981 0.948721737714126 1.04465708851508 1.67970519474499 1.61300012503016 1.77610773254593 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres1 2.56321814265735 1.37913381493194 1.90201007948872 0.921108806600247 1.01425192009099 1.77865120494589 1.71194613523107 1.88505922678038 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres1 2.68257593317323 1.35975469960975 1.84893284311081 0.908165701591784 1 1.85836900374843 1.79166393403361 1.97283814054338 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres1 3.37759620422625 1.40858004810618 1.9840977519228 0.940775632548777 1.03590746809733 2.32256565058667 2.25586058087185 2.48397465013036 SU55 ClassGen 0 2.60888118538623 2 1.61520314059447 NA 1 NA NA NA NA NA NA 100_100
32 home gvNormUnres1 3.5548623691627 1.40047013333944 1.9613165943758 0.93535910673269 1.02994321971557 2.44095983675436 2.37425476703954 2.61434093236298 SU55 ClassGen 0 2.61848648633452 2 1.618173812152 NA 1.00183919377252 NA NA NA NA NA NA 100_100
33 home gvNormUnres1 3.86629121813951 1.42828872193552 2.04000867320821 0.953938846179006 1.05040175433513 2.64895985264555 2.58225478293073 2.84337404331026 SU55 ClassGen 0 2.60209218921135 2 1.61310017953361 NA 0.998698020695968 NA NA NA NA NA NA 100_100
34 home gvNormUnres1 4.19414276890121 1.49341822551802 2.23029799630938 0.99743814890787 1.09829973446433 2.8679284163879 2.80122334667308 3.08448484870464 SU55 ClassGen 0 2.60192236883035 2 1.61304754078432 NA 0.998665431142394 NA NA NA NA NA NA 100_100
35 home gvNormUnres1 4.67469576627462 1.49073380944899 2.2222872906343 0.99564525596667 1.09632554303863 3.18888465219786 3.12217958248304 3.43789638499962 SU55 ClassGen 0 2.59735892122269 2 1.61163237781533 NA 0.997789279447646 NA NA NA NA NA NA 100_100
36 home gvNormUnres1 4.94137347710531 1.50696156169403 2.27093314842332 1.00648359909364 1.10825986637629 3.36699585889195 3.30029078917713 3.63401831118766 SU55 ClassGen 0 2.59171940401621 2 1.60988179815048 NA 0.996705465516844 NA NA NA NA NA NA 100_100
37 home gvNormUnres1 5.36364186249397 1.40895480449917 1.98515364112128 0.941025928357764 1.0361830739791 3.64902442226929 3.58231935255446 3.94456578383831 SU55 ClassGen 0 2.58021711164359 2 1.60630542290176 NA 0.994491270188197 NA NA NA NA NA NA 100_100
