Group,Generation,cat,gvNormUnres1,gvNormUnres2,scenario,rep,trait,strategy
home,35,gpb,6.1197997963285715,5.060359955885715,10_10,0,2,ClassGen
home,36,gpb,6.034090760220001,5.244028710199999,10_10,0,2,ClassGen
home,37,gpb,4.665700763983334,3.645650045383333,10_10,0,2,ClassGen
home,38,gpb,5.5471442313,4.758661747700001,10_10,0,2,ClassGen
home,39,gpb,5.326639668049999,4.21273371925,10_10,0,2,ClassGen
home,40,gpb,6.518210698983334,5.280777594933332,10_10,0,2,ClassGen
home,41,gpb,8.063379141616666,6.839087793533333,10_10,0,2,ClassGen
home,42,gpb,8.075718314883334,7.678877590866667,10_10,0,2,ClassGen
home,43,gpb,8.654067353083335,7.771218418216667,10_10,0,2,ClassGen
home,44,gpb,8.436434387750001,8.128745510083332,10_10,0,2,ClassGen
home,45,gpb,9.518122686133333,8.889487229683333,10_10,0,2,ClassGen
home,46,gpb,10.488590172366667,9.811545937566665,10_10,0,2,ClassGen
home,47,gpb,9.898662244150001,9.744457222333333,10_10,0,2,ClassGen
home,48,gpb,9.624647995566667,8.796496068349999,10_10,0,2,ClassGen
import,25,gpb,4.60141914074,5.35734371676,10_10,0,2,ClassGen
import,26,gpb,4.25001416044,4.73487898988,10_10,0,2,ClassGen
import,27,gpb,5.19027144086,6.19138617596,10_10,0,2,ClassGen
import,28,gpb,4.9563543405,5.492299126240001,10_10,0,2,ClassGen
import,29,gpb,4.761581071739999,5.30913457844,10_10,0,2,ClassGen
import,30,gpb,5.94130026702,7.398991372980001,10_10,0,2,ClassGen
import,31,gpb,6.1961060224399995,7.16704781662,10_10,0,2,ClassGen
import,32,gpb,6.5356476558,7.3613384553599985,10_10,0,2,ClassGen
import,33,gpb,6.77712138934,7.49913401976,10_10,0,2,ClassGen
import,34,gpb,7.237271844220001,8.667247581119998,10_10,0,2,ClassGen
import,35,gpb,6.8969986512,8.244032914850001,10_10,0,2,ClassGen
import,36,gpb,8.151763355944443,9.031094850855554,10_10,0,2,ClassGen
import,37,gpb,8.289242664933333,8.923836324788887,10_10,0,2,ClassGen
import,38,gpb,9.050102887222222,9.882254554288888,10_10,0,2,ClassGen
import,39,gpb,8.680484252983334,9.788250405733335,10_10,0,2,ClassGen
import,40,gpb,9.677032893683332,10.85784858025,10_10,0,2,ClassGen
import,41,gpb,9.200836310616666,9.99201248605,10_10,0,2,ClassGen
import,42,gpb,8.807793301299998,10.446092647183333,10_10,0,2,ClassGen
import,43,gpb,10.074973329033332,11.512517440949999,10_10,0,2,ClassGen
import,44,gpb,10.161381583683333,11.653599168166666,10_10,0,2,ClassGen
import,45,gpb,11.310899921383333,12.40190224035,10_10,0,2,ClassGen
