Generation Group variable value sd var SDSt SDSt30 zMean zMean_noC zMean30 Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt SDGenicSt31 zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
20 home gvNormUnres1 -0.0998744302648148 1.49725396722916 2.24176944238346 1 1.10112064158254 0 -0.0667050697148219 -2.04628846970457 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres1 1.04985600857639 1.436724198172 2.06417642161298 0.959572811038078 1.05660542933541 0.767892731631168 0.701187661916346 -1.2007459323843 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres1 1.11506390020554 1.47984128256135 2.18993022157283 0.988370253110746 1.0883148872264 0.811444388902666 0.744739319187844 -1.15279030358752 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres1 1.19968497468926 1.4586855817664 2.12776362645318 0.974240585560688 1.07275641862833 0.86796190452516 0.801256834810338 -1.09055770052463 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres1 1.52569634115098 1.49513934095347 2.23544164886678 0.998587663601519 1.09956548882131 1.08570142874565 1.01899635903083 -0.850800215917083 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres1 1.69791179588292 1.44247155640043 2.08072419102427 0.963411410470253 1.06083219040494 1.20072229928683 1.13401722957201 -0.724148361151397 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres1 1.95169715182096 1.39689808394427 1.95132425692718 0.93297337293378 1.02731623898427 1.37022283927051 1.30351776955569 -0.537507817815985 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres1 2.2484371032285 1.42286684459532 2.02455005744865 0.95031763197028 1.04641436062231 1.5684122967055 1.50170722699068 -0.319277315290273 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres1 2.41507083634255 1.42047738558902 2.01775600296981 0.948721737714126 1.04465708851508 1.67970519474499 1.61300012503016 -0.196730407997455 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres1 2.56321814265735 1.37913381493194 1.90201007948872 0.921108806600247 1.01425192009099 1.77865120494589 1.71194613523107 -0.087778913763001 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA NA 100_100
