,Category,EBVGen,Cor,Group,Trait,Scenario,Rep,Generation,Strategy
4,Mothers,EBV34,0.5418002531874073,home,2,0_0,0,34,ClassGen
0,Fathers,EBV35,0.7327100318246408,home,2,0_0,0,35,ClassGen
1,Female candidates,EBV35,0.345524031571864,home,2,0_0,0,35,ClassGen
2,Male candidates,EBV35,0.8626552789481675,home,2,0_0,0,35,ClassGen
3,Male candidates1,EBV35,-0.13094473952981459,home,2,0_0,0,35,ClassGen
4,Mothers,EBV35,0.5525699284369767,home,2,0_0,0,35,ClassGen
0,Fathers,EBV36,0.789996520388701,home,2,0_0,0,36,ClassGen
1,Female candidates,EBV36,0.31884896774936866,home,2,0_0,0,36,ClassGen
2,Male candidates,EBV36,0.520656758616106,home,2,0_0,0,36,ClassGen
3,Male candidates1,EBV36,0.1497092058139846,home,2,0_0,0,36,ClassGen
4,Mothers,EBV36,0.5410794105835754,home,2,0_0,0,36,ClassGen
0,Fathers,EBV37,0.8368349166157922,home,2,0_0,0,37,ClassGen
1,Female candidates,EBV37,0.26792878678238474,home,2,0_0,0,37,ClassGen
2,Male candidates,EBV37,0.8683273277656259,home,2,0_0,0,37,ClassGen
3,Male candidates1,EBV37,0.49174174914078045,home,2,0_0,0,37,ClassGen
4,Mothers,EBV37,0.5229148020893282,home,2,0_0,0,37,ClassGen
0,Fathers,EBV38,0.7903673785078199,home,2,0_0,0,38,ClassGen
1,Female candidates,EBV38,0.32303318624469923,home,2,0_0,0,38,ClassGen
2,Male candidates,EBV38,0.903423248973937,home,2,0_0,0,38,ClassGen
3,Male candidates1,EBV38,0.3744010281986347,home,2,0_0,0,38,ClassGen
4,Mothers,EBV38,0.5120253650598391,home,2,0_0,0,38,ClassGen
0,Fathers,EBV39,0.7476668367848762,home,2,0_0,0,39,ClassGen
1,Female candidates,EBV39,0.371940563971733,home,2,0_0,0,39,ClassGen
2,Male candidates,EBV39,0.9422561689634786,home,2,0_0,0,39,ClassGen
3,Male candidates1,EBV39,0.6413187599688774,home,2,0_0,0,39,ClassGen
4,Mothers,EBV39,0.5033242957823323,home,2,0_0,0,39,ClassGen
0,Fathers,EBV40,0.8279201318612331,home,2,0_0,0,40,ClassGen
1,Female candidates,EBV40,0.3311545723435292,home,2,0_0,0,40,ClassGen
2,Male candidates,EBV40,0.9311301985318746,home,2,0_0,0,40,ClassGen
3,Male candidates1,EBV40,-0.1371857777003808,home,2,0_0,0,40,ClassGen
4,Mothers,EBV40,0.5080231643718173,home,2,0_0,0,40,ClassGen
0,Fathers,EBV41,0.5573194040430182,home,2,0_0,0,41,ClassGen
1,Female candidates,EBV41,0.3654976061212051,home,2,0_0,0,41,ClassGen
2,Male candidates,EBV41,0.22710110524185295,home,2,0_0,0,41,ClassGen
3,Mothers,EBV41,0.6138733886728386,home,2,0_0,0,41,ClassGen
0,Fathers,EBV42,0.8027509134263933,home,2,0_0,0,42,ClassGen
1,Female candidates,EBV42,0.4670273185738007,home,2,0_0,0,42,ClassGen
2,Male candidates,EBV42,0.7703592059238835,home,2,0_0,0,42,ClassGen
3,Mothers,EBV42,0.6566244176616807,home,2,0_0,0,42,ClassGen
0,Fathers,EBV43,0.8232362013118927,home,2,0_0,0,43,ClassGen
1,Female candidates,EBV43,0.4658238360363726,home,2,0_0,0,43,ClassGen
2,Male candidates,EBV43,0.7788726907889795,home,2,0_0,0,43,ClassGen
3,Mothers,EBV43,0.6723925651660738,home,2,0_0,0,43,ClassGen
0,Fathers,EBV44,0.8432610911705806,home,2,0_0,0,44,ClassGen
1,Female candidates,EBV44,0.5271799665833348,home,2,0_0,0,44,ClassGen
2,Male candidates,EBV44,0.8630184621318164,home,2,0_0,0,44,ClassGen
3,Mothers,EBV44,0.6826006263120632,home,2,0_0,0,44,ClassGen
0,Fathers,EBV45,0.923753858954715,home,2,0_0,0,45,ClassGen
1,Female candidates,EBV45,0.5028949040870404,home,2,0_0,0,45,ClassGen
2,Male candidates,EBV45,0.7839209344908594,home,2,0_0,0,45,ClassGen
3,Mothers,EBV45,0.6934140950249865,home,2,0_0,0,45,ClassGen
0,Fathers,EBV46,0.9085288426556678,home,2,0_0,0,46,ClassGen
1,Female candidates,EBV46,0.5538855174051429,home,2,0_0,0,46,ClassGen
2,Male candidates,EBV46,0.7505808601762739,home,2,0_0,0,46,ClassGen
3,Mothers,EBV46,0.7018378830834457,home,2,0_0,0,46,ClassGen
0,Fathers,EBV47,0.8044629443379597,home,2,0_0,0,47,ClassGen
1,Female candidates,EBV47,0.4919492033688874,home,2,0_0,0,47,ClassGen
2,Male candidates,EBV47,0.8696975240691088,home,2,0_0,0,47,ClassGen
3,Mothers,EBV47,0.7090098655807714,home,2,0_0,0,47,ClassGen
0,Fathers,EBV48,0.8875682206492315,home,2,0_0,0,48,ClassGen
1,Female candidates,EBV48,0.4671120835527781,home,2,0_0,0,48,ClassGen
2,Male candidates,EBV48,0.7920531201243803,home,2,0_0,0,48,ClassGen
3,Mothers,EBV48,0.7122473276713054,home,2,0_0,0,48,ClassGen
0,Fathers,EBV49,0.8845069371693791,home,2,0_0,0,49,ClassGen
1,Female candidates,EBV49,0.4560629617460307,home,2,0_0,0,49,ClassGen
2,Male candidates,EBV49,0.735755083128029,home,2,0_0,0,49,ClassGen
3,Mothers,EBV49,0.7082549609089782,home,2,0_0,0,49,ClassGen
0,Fathers,EBV50,0.8383815813141546,home,2,0_0,0,50,ClassGen
1,Female candidates,EBV50,0.4575053024370912,home,2,0_0,0,50,ClassGen
2,Male candidates,EBV50,0.7916110014611856,home,2,0_0,0,50,ClassGen
3,Mothers,EBV50,0.7082279471894495,home,2,0_0,0,50,ClassGen
0,Fathers,EBV21,0.4621405646569945,import,2,0_0,0,21,ClassGen
1,Female candidates,EBV21,0.2022730469047008,import,2,0_0,0,21,ClassGen
2,Male candidates,EBV21,0.07188281054605479,import,2,0_0,0,21,ClassGen
3,Male candidates1,EBV21,0.09192079332160806,import,2,0_0,0,21,ClassGen
4,Mothers,EBV21,0.6176724843467248,import,2,0_0,0,21,ClassGen
0,Fathers,EBV22,0.32736116978278446,import,2,0_0,0,22,ClassGen
1,Female candidates,EBV22,0.2643053705957453,import,2,0_0,0,22,ClassGen
2,Male candidates,EBV22,0.20743982633684088,import,2,0_0,0,22,ClassGen
3,Male candidates1,EBV22,0.04237282956350484,import,2,0_0,0,22,ClassGen
4,Mothers,EBV22,0.6183455675972581,import,2,0_0,0,22,ClassGen
0,Fathers,EBV23,-0.005908117301348232,import,2,0_0,0,23,ClassGen
1,Female candidates,EBV23,0.3339936583230958,import,2,0_0,0,23,ClassGen
2,Male candidates,EBV23,0.25037936689541623,import,2,0_0,0,23,ClassGen
3,Male candidates1,EBV23,0.10613691846897308,import,2,0_0,0,23,ClassGen
4,Mothers,EBV23,0.6451113045599495,import,2,0_0,0,23,ClassGen
0,Fathers,EBV24,-0.5454626085421662,import,2,0_0,0,24,ClassGen
1,Female candidates,EBV24,0.22657826559478395,import,2,0_0,0,24,ClassGen
2,Male candidates,EBV24,0.3816525150509404,import,2,0_0,0,24,ClassGen
3,Male candidates1,EBV24,0.035620145154526266,import,2,0_0,0,24,ClassGen
4,Mothers,EBV24,0.7126879257664488,import,2,0_0,0,24,ClassGen
0,Fathers,EBV25,0.13582546215050362,import,2,0_0,0,25,ClassGen
1,Female candidates,EBV25,0.30697086264241585,import,2,0_0,0,25,ClassGen
2,Male candidates,EBV25,0.372181240990802,import,2,0_0,0,25,ClassGen
3,Male candidates1,EBV25,-0.019466350285550712,import,2,0_0,0,25,ClassGen
4,Mothers,EBV25,0.6875534001251296,import,2,0_0,0,25,ClassGen
0,Fathers,EBV26,0.06322984589091142,import,2,0_0,0,26,ClassGen
1,Female candidates,EBV26,0.2814951529726807,import,2,0_0,0,26,ClassGen
2,Male candidates,EBV26,0.37294791938380717,import,2,0_0,0,26,ClassGen
3,Male candidates1,EBV26,0.17056431934710045,import,2,0_0,0,26,ClassGen
4,Mothers,EBV26,0.6499195736803661,import,2,0_0,0,26,ClassGen
0,Fathers,EBV27,0.4738218545058735,import,2,0_0,0,27,ClassGen
1,Female candidates,EBV27,0.28936734834113487,import,2,0_0,0,27,ClassGen
2,Male candidates,EBV27,0.5105622733006183,import,2,0_0,0,27,ClassGen
3,Male candidates1,EBV27,0.14354280020555488,import,2,0_0,0,27,ClassGen
4,Mothers,EBV27,0.5903841718486357,import,2,0_0,0,27,ClassGen
0,Fathers,EBV28,0.5724728833103223,import,2,0_0,0,28,ClassGen
1,Female candidates,EBV28,0.26839918736114265,import,2,0_0,0,28,ClassGen
2,Male candidates,EBV28,0.5081653533528253,import,2,0_0,0,28,ClassGen
3,Male candidates1,EBV28,0.15560565016779287,import,2,0_0,0,28,ClassGen
4,Mothers,EBV28,0.6110385260024344,import,2,0_0,0,28,ClassGen
0,Fathers,EBV29,0.6057547160707195,import,2,0_0,0,29,ClassGen
1,Female candidates,EBV29,0.27171334328876906,import,2,0_0,0,29,ClassGen
2,Male candidates,EBV29,0.5308723983065546,import,2,0_0,0,29,ClassGen
3,Male candidates1,EBV29,0.2311505952773261,import,2,0_0,0,29,ClassGen
4,Mothers,EBV29,0.5919006407783217,import,2,0_0,0,29,ClassGen
0,Fathers,EBV30,0.38729843034064926,import,2,0_0,0,30,ClassGen
1,Female candidates,EBV30,0.29777366334534583,import,2,0_0,0,30,ClassGen
2,Male candidates,EBV30,0.4512617693844702,import,2,0_0,0,30,ClassGen
3,Male candidates1,EBV30,0.23010566654380812,import,2,0_0,0,30,ClassGen
4,Mothers,EBV30,0.5766100867112894,import,2,0_0,0,30,ClassGen
0,Fathers,EBV31,0.5453176496189162,import,2,0_0,0,31,ClassGen
1,Female candidates,EBV31,0.35851733850123046,import,2,0_0,0,31,ClassGen
2,Male candidates,EBV31,0.21123810883213356,import,2,0_0,0,31,ClassGen
3,Mothers,EBV31,0.7441997757793819,import,2,0_0,0,31,ClassGen
0,Fathers,EBV32,0.6476802283789741,import,2,0_0,0,32,ClassGen
1,Female candidates,EBV32,0.35844817380758026,import,2,0_0,0,32,ClassGen
2,Male candidates,EBV32,0.8076270295073296,import,2,0_0,0,32,ClassGen
3,Mothers,EBV32,0.7167742233720316,import,2,0_0,0,32,ClassGen
0,Fathers,EBV33,0.7314684446577795,import,2,0_0,0,33,ClassGen
1,Female candidates,EBV33,0.3431171213042071,import,2,0_0,0,33,ClassGen
2,Male candidates,EBV33,0.7760835125705263,import,2,0_0,0,33,ClassGen
3,Mothers,EBV33,0.6925630884995101,import,2,0_0,0,33,ClassGen
0,Fathers,EBV34,0.7842954939899373,import,2,0_0,0,34,ClassGen
1,Female candidates,EBV34,0.3834406150335485,import,2,0_0,0,34,ClassGen
2,Male candidates,EBV34,0.7407849422399453,import,2,0_0,0,34,ClassGen
3,Mothers,EBV34,0.6724690260272913,import,2,0_0,0,34,ClassGen
0,Fathers,EBV35,0.8506405107756697,import,2,0_0,0,35,ClassGen
1,Female candidates,EBV35,0.4337302904863218,import,2,0_0,0,35,ClassGen
2,Male candidates,EBV35,0.8280998982651205,import,2,0_0,0,35,ClassGen
3,Mothers,EBV35,0.6973745430960746,import,2,0_0,0,35,ClassGen
0,Fathers,EBV36,0.9018457810710162,import,2,0_0,0,36,ClassGen
1,Female candidates,EBV36,0.48381109091951263,import,2,0_0,0,36,ClassGen
