strategy,scenario,Group,Generation,cat,trait,gvNormUnres1,gvNormUnres2
ClassGen,0_100,home,35,gpb,2,7.059954640694445,6.519938191966666
ClassGen,0_100,home,36,gpb,2,6.239405344690318,5.955323455941588
ClassGen,0_100,home,37,gpb,2,6.755767884991666,6.613770315775199
ClassGen,0_100,home,38,gpb,2,7.461794955133333,7.075195805972222
ClassGen,0_100,home,39,gpb,2,7.624789757538889,7.514159683166667
ClassGen,0_100,home,40,gpb,2,8.685579223705554,8.116531953316667
ClassGen,0_100,home,41,gpb,2,9.200285857866666,9.16983308268889
ClassGen,0_100,home,42,gpb,2,9.769964133744445,9.325416283805556
ClassGen,0_100,home,43,gpb,2,10.728571856499999,10.601946528577779
ClassGen,0_100,home,44,gpb,2,10.058447387361111,10.1939226954
ClassGen,0_100,home,45,gpb,2,11.125326417944445,10.911989909616667
ClassGen,0_100,home,46,gpb,2,11.183696860322222,11.563284261116666
ClassGen,0_100,home,47,gpb,2,11.441448684238887,11.465784756877776
ClassGen,0_100,home,48,gpb,2,12.08783153545,12.245864627522224
ClassGen,0_100,import,25,gpb,2,5.138536544573333,5.423889003926668
ClassGen,0_100,import,26,gpb,2,5.036296779426666,5.35507525552
ClassGen,0_100,import,27,gpb,2,5.276327272693333,5.761556852086666
ClassGen,0_100,import,28,gpb,2,5.546100689733334,6.098228341760001
ClassGen,0_100,import,29,gpb,2,6.5035368841266665,6.851543260846667
ClassGen,0_100,import,30,gpb,2,4.3676263826,4.749632357473334
ClassGen,0_100,import,31,gpb,2,7.298708806413333,7.98577064652
ClassGen,0_100,import,32,gpb,2,7.181784797246667,7.702695826686665
ClassGen,0_100,import,33,gpb,2,7.685800014986666,8.10610092846
ClassGen,0_100,import,34,gpb,2,8.008995471793334,8.659074035753333
ClassGen,0_100,import,35,gpb,2,8.387890124820741,9.089550740406297
ClassGen,0_100,import,36,gpb,2,8.857864533853354,9.454625833959632
ClassGen,0_100,import,37,gpb,2,9.600861378756298,10.266024158421482
ClassGen,0_100,import,38,gpb,2,9.11960535266852,9.885115739987963
ClassGen,0_100,import,39,gpb,2,10.256227347216667,11.026518386744444
ClassGen,0_100,import,40,gpb,2,10.215025152144444,11.109469027538887
ClassGen,0_100,import,41,gpb,2,10.477979748155555,11.303141763222222
ClassGen,0_100,import,42,gpb,2,11.019153162449998,11.850048146799999
ClassGen,0_100,import,43,gpb,2,11.330736672166665,12.43682921801111
ClassGen,0_100,import,44,gpb,2,11.504514934461113,12.332382650644446
ClassGen,0_100,import,45,gpb,2,11.727819140577779,12.915055961611111
ClassGen,0_100,import,46,gpb,2,11.945331711572223,13.161824580233331
ClassGen,0_100,import,47,gpb,2,12.948573684332223,13.961580770745554
