Group,Strategy,Scenario,Generation,Category,Cor
home,ClassGen,0_0,40,Female candidates,0.37226994999512925
home,ClassGen,0_0,40,Male candidates,0.8725163182198008
home,ClassGen,0_0,40,Male candidates1,0.09500447116365437
home,ClassGen,0_0,40,Mothers,0.5036483340348683
home,ClassGen,0_0,41,Fathers,0.5808285554853228
home,ClassGen,0_0,41,Female candidates,0.41711620032378827
home,ClassGen,0_0,41,Male candidates,0.1881801910637739
home,ClassGen,0_0,41,Mothers,0.5958550990996716
home,ClassGen,0_0,42,Fathers,0.6009679537227279
home,ClassGen,0_0,42,Female candidates,0.4270123608043614
home,ClassGen,0_0,42,Male candidates,0.7454338559705056
home,ClassGen,0_0,42,Mothers,0.6407452715277996
home,ClassGen,0_0,43,Fathers,0.7822239836133492
home,ClassGen,0_0,43,Female candidates,0.48243357376198037
home,ClassGen,0_0,43,Male candidates,0.8658484299908525
home,ClassGen,0_0,43,Mothers,0.6669486928907992
home,ClassGen,0_0,44,Fathers,0.8931722584551359
home,ClassGen,0_0,44,Female candidates,0.5359384824948116
home,ClassGen,0_0,44,Male candidates,0.7231638710830812
home,ClassGen,0_0,44,Mothers,0.6925956263194164
home,ClassGen,0_0,45,Fathers,0.8594507890386939
home,ClassGen,0_0,45,Female candidates,0.5973840154552655
home,ClassGen,0_0,45,Male candidates,0.8546387495343322
home,ClassGen,0_0,45,Mothers,0.711099317769846
home,ClassGen,0_0,46,Fathers,0.8342815233823817
home,ClassGen,0_0,46,Female candidates,0.5417225291115118
home,ClassGen,0_0,46,Male candidates,0.7663229560563407
home,ClassGen,0_0,46,Mothers,0.7195618690133279
home,ClassGen,0_0,47,Fathers,0.6920757301099199
home,ClassGen,0_0,47,Female candidates,0.5127199314134991
home,ClassGen,0_0,47,Male candidates,0.7685480899683791
home,ClassGen,0_0,47,Mothers,0.7352691448659129
home,ClassGen,0_0,48,Fathers,0.7465563417968439
home,ClassGen,0_0,48,Female candidates,0.48794703848876314
home,ClassGen,0_0,48,Male candidates,0.7419530302246856
home,ClassGen,0_0,48,Mothers,0.7415386065447038
home,ClassGen,0_0,49,Fathers,0.8214323805423325
home,ClassGen,0_0,49,Female candidates,0.4955017779330307
home,ClassGen,0_0,49,Male candidates,0.8071642157408896
home,ClassGen,0_0,49,Mothers,0.7271963586563812
home,ClassGen,0_0,50,Fathers,0.7753281139078821
home,ClassGen,0_0,50,Female candidates,0.47103617455228836
home,ClassGen,0_0,50,Male candidates,0.8715584411661572
home,ClassGen,0_0,50,Mothers,0.7154938461718398
home,ClassGen,0_100,21,Fathers,0.03227091001319672
home,ClassGen,0_100,21,Female candidates,0.03895730369965889
home,ClassGen,0_100,21,Male candidates,0.7363987770512435
home,ClassGen,0_100,21,Male candidates1,-0.009426529081587696
home,ClassGen,0_100,21,Mothers,0.36048991539365927
home,ClassGen,0_100,22,Fathers,-0.08942309826752065
home,ClassGen,0_100,22,Female candidates,0.16176264041048602
home,ClassGen,0_100,22,Male candidates,-0.5411533817632173
home,ClassGen,0_100,22,Male candidates1,-0.026819479185389846
home,ClassGen,0_100,22,Mothers,0.42949245053976504
home,ClassGen,0_100,23,Fathers,-0.09879111529793212
home,ClassGen,0_100,23,Female candidates,0.188391758555272
home,ClassGen,0_100,23,Male candidates,-0.08311318741813584
home,ClassGen,0_100,23,Male candidates1,0.14445135388556668
home,ClassGen,0_100,23,Mothers,0.5247616359197896
home,ClassGen,0_100,24,Fathers,0.4397674905445568
home,ClassGen,0_100,24,Female candidates,0.36166825966009664
home,ClassGen,0_100,24,Male candidates,0.757053564714058
home,ClassGen,0_100,24,Male candidates1,0.06352729982719546
home,ClassGen,0_100,24,Mothers,0.5971257602756264
home,ClassGen,0_100,25,Fathers,0.1318251837196126
home,ClassGen,0_100,25,Female candidates,0.3543334696418799
home,ClassGen,0_100,25,Male candidates,0.9297340224888166
home,ClassGen,0_100,25,Male candidates1,0.20042618596763287
home,ClassGen,0_100,25,Mothers,0.6022245407450525
home,ClassGen,0_100,26,Fathers,0.6700815955323087
home,ClassGen,0_100,26,Female candidates,0.33572558015387444
home,ClassGen,0_100,26,Male candidates,0.9745239677184688
home,ClassGen,0_100,26,Male candidates1,0.32698164504317034
home,ClassGen,0_100,26,Mothers,0.5810886097747577
home,ClassGen,0_100,27,Fathers,0.8030170050571535
home,ClassGen,0_100,27,Female candidates,0.34298228229045385
home,ClassGen,0_100,27,Male candidates,0.9518731116017514
home,ClassGen,0_100,27,Male candidates1,0.31659668536070673
home,ClassGen,0_100,27,Mothers,0.5658348885717345
home,ClassGen,0_100,28,Fathers,0.7699338528039338
home,ClassGen,0_100,28,Female candidates,0.35411146119242587
home,ClassGen,0_100,28,Male candidates,0.8923729801596365
home,ClassGen,0_100,28,Male candidates1,0.2722187724172871
home,ClassGen,0_100,28,Mothers,0.569672781701278
home,ClassGen,0_100,29,Fathers,0.7404288131725894
home,ClassGen,0_100,29,Female candidates,0.3525753428518056
home,ClassGen,0_100,29,Male candidates,0.7533675323919543
home,ClassGen,0_100,29,Male candidates1,0.28742885607709784
home,ClassGen,0_100,29,Mothers,0.5543823833520616
home,ClassGen,0_100,30,Fathers,0.7628961752039929
home,ClassGen,0_100,30,Female candidates,0.3087342728597335
home,ClassGen,0_100,30,Male candidates,0.923842148177408
home,ClassGen,0_100,30,Male candidates1,0.24989936798910065
home,ClassGen,0_100,30,Mothers,0.5418788799891272
home,ClassGen,0_100,31,Fathers,0.7783265046404001
home,ClassGen,0_100,31,Female candidates,0.29828995507384054
home,ClassGen,0_100,31,Male candidates,0.8877617275049127
