Generation Group variable value sd var SDSt zMean zMean_noC zMean30 Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
47 home gvNormUnres1 8.83283790747667 1.41926188752299 2.01430430537531 0.947909919483796 5.9660635625314 5.89935849281658 6.49590540853558 SU55 ClassGen 0 2.51425696523147 2 1.58564086893327 NA NA NA NA NA NA NA 100_100
48 home gvNormUnres1 9.11471798751682 1.40181366715406 1.96508155741992 0.93625643867772 6.15432826992891 6.08762320021409 6.70320756393247 SU55 ClassGen 0 2.50675746458148 2 1.58327428595979 NA NA NA NA NA NA NA 100_100
49 home gvNormUnres1 9.44123051794019 1.41633254269467 2.00599787149595 0.945953441229316 6.37240251622903 6.30569744651421 6.94333361793109 SU55 ClassGen 0 2.49201745391949 2 1.57861250911029 NA NA NA NA NA NA NA 100_100
50 home gvNormUnres1 9.77201164687184 1.43082649110085 2.04726444763596 0.955633795212949 6.59332771407226 6.52662264435743 7.18659891352197 SU55 ClassGen 0 2.47752427564738 2 1.57401533526436 NA NA NA NA NA NA NA 100_100
20 home gvNormUnres2 -0.0205532581616435 1.45339577259064 2.11235927178433 1 0 -0.0141415425510753 -0.0145275581275633 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres2 0.915799389650255 1.40216965012134 1.96607972772139 0.964754182284436 0.644251665974558 0.630110123423483 0.647309967193406 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres2 1.01502577682009 1.42928247708512 2.04284839930258 0.983408995704911 0.712523769857845 0.69838222730677 0.717445665196173 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres2 0.92654240846647 1.4269247818986 2.03611433319636 0.981786798068872 0.651643333831873 0.637501791280798 0.654903402214299 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres2 1.18738076186713 1.46732574202209 2.15304483320066 1.00958442957806 0.831111554615069 0.816970012063993 0.839270489472399 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres2 1.40361308330647 1.40788467700438 1.98213926374374 0.96868637129367 0.979888870138639 0.965747327587564 0.992108915091473 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres2 1.61864835827019 1.39969174866132 1.95913699127058 0.963049277463088 1.12784256521539 1.11370102266432 1.14410123825228 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres2 1.81383639185429 1.44479075521714 2.08742032636092 0.994079370852884 1.2621404882348 1.24799894568372 1.28206503364651 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres2 2.08168508352316 1.47482929817362 2.17512145875128 1.01474720512278 1.44643212903917 1.43229058648809 1.47138720373792 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres2 2.11119173750706 1.3983332023869 1.95533574489761 0.962114538075485 1.466734000381 1.45259245782993 1.49224324648938 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres2 2.21254046299525 1.41477721040039 2.00159455506831 0.973428736398888 1.53646636605835 1.52232482350727 1.56387906642142 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres2 3.30911946919583 1.4799405451108 2.19022401706287 1.01826396706305 2.29096079000039 2.27681924744932 2.33896859863846 SU55 ClassGen 0 2.65811824943531 2 1.63037365331856 NA NA NA NA NA NA NA 100_100
32 home gvNormUnres2 3.47352639335608 1.52148597166489 2.31491956197305 1.04684904164327 2.40407996047052 2.38993841791944 2.45517553422638 SU55 ClassGen 0 2.66690591456524 2 1.63306641462166 NA NA NA NA NA NA NA 100_100
33 home gvNormUnres2 3.97077669417387 1.47092941723763 2.16363335049504 1.01206391609062 2.746209964008 2.73206842145692 2.80664451263681 SU55 ClassGen 0 2.64922412486482 2 1.62764373401086 NA NA NA NA NA NA NA 100_100
34 home gvNormUnres2 4.39704815648659 1.57293403968707 2.4741214932063 1.08224756762803 3.03950341535257 3.02536187280149 3.1079438685913 SU55 ClassGen 0 2.64953944501934 2 1.62774059512545 NA NA NA NA NA NA NA 100_100
35 home gvNormUnres2 4.90635102041157 1.53318028463712 2.35064178519995 1.05489524157915 3.3899261106224 3.37578456807133 3.46793190075705 SU55 ClassGen 0 2.64400015734671 2 1.62603817831769 NA NA NA NA NA NA NA 100_100
36 home gvNormUnres2 5.27425677940182 1.52753940056448 2.3333766202769 1.05101406607347 3.64306139966653 3.62891985711545 3.72797691440702 SU55 ClassGen 0 2.63830127306142 2 1.6242848497297 NA NA NA NA NA NA NA 100_100
37 home gvNormUnres2 5.75062095138431 1.46024152467429 2.13230531038311 1.0047101775117 3.97082083103833 3.95667928848725 4.06468305335287 SU55 ClassGen 0 2.62556105317458 2 1.62035831011989 NA NA NA NA NA NA NA 100_100
38 home gvNormUnres2 6.13859293711997 1.4656477942694 2.14812345684675 1.0084299279727 4.23776256367053 4.22362102111946 4.33891137911581 SU55 ClassGen 0 2.62786292003217 2 1.6210684501378 NA NA NA NA NA NA NA 100_100
39 home gvNormUnres2 6.55446986125631 1.45587715458113 2.11957828923125 1.00170729957888 4.52390411711337 4.5097625745623 4.63286361490186 SU55 ClassGen 0 2.62087662195417 2 1.61891217240287 NA NA NA NA NA NA NA 100_100
40 home gvNormUnres2 6.77122344796654 1.45219929644003 2.10888279658093 0.999176771961796 4.67304008599257 4.65889854344149 4.78607048388223 SU55 ClassGen 0 2.6182326059991 2 1.61809536369124 NA NA NA NA NA NA NA 100_100
41 home gvNormUnres2 7.31666896126042 1.40440549351946 1.97235479022764 0.966292540548779 5.04833050831273 5.03418896576165 5.17160504669832 SU55 ClassGen 0 2.60410073162303 2 1.61372263156437 NA NA NA NA NA NA NA 100_100
42 home gvNormUnres2 7.73796667912362 1.43516195810764 2.05968984599935 0.987454336370818 5.33820180545587 5.32406026290479 5.46938883538684 SU55 ClassGen 0 2.60160227573648 2 1.61294831775122 NA NA NA NA NA NA NA 100_100
43 home gvNormUnres2 8.21408098744318 1.43842458736542 2.06906529353738 0.989699168314952 5.665789319675 5.65164777712392 5.80591836443178 SU55 ClassGen 0 2.59202539797648 2 1.60997683150301 NA NA NA NA NA NA NA 100_100
44 home gvNormUnres2 8.60002339428933 1.43072433634373 2.04697212660622 0.984401058077599 5.93133461306622 5.91719307051515 6.07871213295518 SU55 ClassGen 0 2.59252479517675 2 1.61013191856343 NA NA NA NA NA NA NA 100_100
45 home gvNormUnres2 9.06069824205347 1.36062608457097 1.85130334201494 0.936170388156349 6.24829910164665 6.23415755909557 6.40432866422074 SU55 ClassGen 0 2.58264301128422 2 1.60706036329822 NA NA NA NA NA NA NA 100_100
46 home gvNormUnres2 9.45444557909818 1.38234128916733 1.9108674397368 0.951111400787513 6.51921452913745 6.50507298658637 6.68263915307381 SU55 ClassGen 0 2.57188934469884 2 1.60371111634822 NA NA NA NA NA NA NA 100_100
47 home gvNormUnres2 9.84429312201602 1.39066575891725 1.93395125302488 0.956839000872022 6.78744672732455 6.77330518477348 6.9581931696723 SU55 ClassGen 0 2.56583153506724 2 1.60182131808365 NA NA NA NA NA NA NA 100_100
48 home gvNormUnres2 10.1258325910633 1.36634725333703 1.86690481670163 0.940106803050315 6.98115822308967 6.9670166805386 7.15719232443502 SU55 ClassGen 0 2.55823300932956 2 1.5994477200989 NA NA NA NA NA NA NA 100_100
49 home gvNormUnres2 10.5115946422877 1.39572735033659 1.94805483647759 0.960321597639398 7.24657942390744 7.23243788135637 7.42985861308361 SU55 ClassGen 0 2.54444464191299 2 1.59513154376465 NA NA NA NA NA NA NA 100_100
50 home gvNormUnres2 10.8940280459184 1.39303039540305 1.94053368251677 0.958465974426229 7.50971036927203 7.49556882672095 7.70017213016552 SU55 ClassGen 0 2.5308093484153 2 1.5908517682095 NA NA NA NA NA NA NA 100_100
20 import gvNormUnres1 -0.121873434705926 1.49896748066701 2.24690350809721 1 0 -0.0813049224067854 -0.0905598841209075 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
21 import gvNormUnres1 1.54256266216929 1.33619793444059 1.78542492000329 0.891412223196466 1.11038839624098 1.02908347383419 1.14622432913592 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
22 import gvNormUnres1 1.34467576739866 1.39846421423617 1.95570215849919 0.932951669914735 0.978372927377982 0.897068004971197 0.999181503086773 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
23 import gvNormUnres1 1.63224276798705 1.41050318479439 1.98951923431513 0.940983178745644 1.17021631577519 1.08891139336841 1.21286247723114 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
24 import gvNormUnres1 2.01884447380304 1.39664003282339 1.95060338128491 0.931734711284002 1.42812831907227 1.34682339666548 1.50013267490892 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
25 import gvNormUnres1 2.31849654999365 1.37860395127286 1.90054885446514 0.919702374503418 1.62803397416844 1.54672905176166 1.72279364579145 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
