strategy,scenario,Group,Generation,cat,trait,gvNormUnres1,gvNormUnres3
ClassGen,100_100,import,26,gpb,3,4.04114243598,5.095875517813334
ClassGen,100_100,import,27,gpb,2,5.673954736933333,4.211387266646667
ClassGen,100_100,import,27,gpb,3,4.487050206006667,5.508779807193334
ClassGen,100_100,import,28,gpb,2,5.847296089526666,4.5267747646466665
ClassGen,100_100,import,28,gpb,3,4.6765612367400005,5.865368777106667
ClassGen,100_100,import,29,gpb,2,5.796278375853333,4.7190281504466665
ClassGen,100_100,import,29,gpb,3,4.92028756862,5.8036876568
ClassGen,100_100,import,30,gpb,2,5.439798273646667,4.232277013553333
ClassGen,100_100,import,30,gpb,3,4.712819264699999,5.269634998326667
ClassGen,100_100,import,31,gpb,2,7.497803205313332,6.718431756646667
ClassGen,100_100,import,31,gpb,3,5.8499180272133335,7.144633881899999
ClassGen,100_100,import,32,gpb,2,7.711767089513334,6.660546518066666
ClassGen,100_100,import,32,gpb,3,6.17430012254,6.829238536833333
ClassGen,100_100,import,33,gpb,2,7.724715662973334,6.297050297473334
ClassGen,100_100,import,33,gpb,3,6.108703034013334,7.331240597806667
ClassGen,100_100,import,34,gpb,2,8.164396295546666,7.017941023953333
ClassGen,100_100,import,34,gpb,3,6.093033396506666,7.254535792986668
ClassGen,100_100,import,35,gpb,2,8.377261657034259,7.006345876491667
ClassGen,100_100,import,35,gpb,3,6.0795908266518515,7.679316109125925
ClassGen,100_100,import,36,gpb,2,8.787874330114628,7.541458599132128
ClassGen,100_100,import,36,gpb,3,6.133886988812037,7.614453268818056
ClassGen,100_100,import,37,gpb,2,8.946669139654444,7.6137881265411105
ClassGen,100_100,import,37,gpb,3,6.970642762539167,8.337369789091852
ClassGen,100_100,import,38,gpb,2,9.385779059072314,7.650682574594074
ClassGen,100_100,import,38,gpb,3,6.74390627903037,8.429724072050371
ClassGen,100_100,import,39,gpb,2,9.565668453861111,8.280718961105556
ClassGen,100_100,import,39,gpb,3,6.756661604116668,8.181568422227778
ClassGen,100_100,import,40,gpb,2,10.46998738923889,8.818147890083333
ClassGen,100_100,import,40,gpb,3,7.261570556950001,8.72142272983889
ClassGen,100_100,import,41,gpb,2,10.840179663333332,9.202931564533333
ClassGen,100_100,import,41,gpb,3,7.296982114438889,9.130195744877778
ClassGen,100_100,import,42,gpb,2,10.440937304727777,8.708447377550002
ClassGen,100_100,import,42,gpb,3,7.569260165988889,9.393344850544445
ClassGen,100_100,import,43,gpb,2,11.0615431072,9.301819687250001
ClassGen,100_100,import,43,gpb,3,7.8485642435111105,9.60127299103889
ClassGen,100_100,import,44,gpb,2,11.942245750483336,9.898991034144444
ClassGen,100_100,import,44,gpb,3,7.9274082560500005,9.880162061072221
ClassGen,100_100,import,45,gpb,2,11.70269999455,10.2554143727
ClassGen,100_100,import,45,gpb,3,8.526772620255556,10.911813427516668
ClassGen,100_100,import,46,gpb,2,11.9264935429,10.417731548727778
ClassGen,100_100,import,46,gpb,3,8.085096067111111,10.37741100597222
ClassGen,100_100,import,47,gpb,2,12.299256072983333,10.74653443841111
ClassGen,100_100,import,47,gpb,3,8.946521648566668,10.399792926977776
ClassGen,100_100,import,48,gpb,2,12.372577914255556,10.824589610566667
ClassGen,100_100,import,48,gpb,3,8.777716642377777,11.209499761455556
ClassGen,10_10,home,35,gpb,2,5.986521559628571,4.491170690777143
ClassGen,10_10,home,35,gpb,3,5.402226408069445,3.7202435061222228
ClassGen,10_10,home,36,gpb,2,5.546475667322222,4.505673258555556
ClassGen,10_10,home,36,gpb,3,5.126948477668453,3.371048497964683
ClassGen,10_10,home,37,gpb,2,5.642086478606111,4.134274622361111
ClassGen,10_10,home,37,gpb,3,5.327019399580159,3.786954855076786
ClassGen,10_10,home,38,gpb,2,5.488601723094444,3.5740562355166667
ClassGen,10_10,home,38,gpb,3,5.494374647583332,4.296624962494445
ClassGen,10_10,home,39,gpb,2,6.097957572655556,5.266847107533334
ClassGen,10_10,home,39,gpb,3,5.5981079585444435,4.57710773225
ClassGen,10_10,home,40,gpb,2,6.465012925083333,4.74006657545
ClassGen,10_10,home,40,gpb,3,6.7424058443611115,5.143433869194445
ClassGen,10_10,home,41,gpb,2,8.108862725911111,6.683209582572221
ClassGen,10_10,home,41,gpb,3,7.5784294793111115,6.179006919005555
ClassGen,10_10,home,42,gpb,2,8.675893222355556,6.796958721516667
ClassGen,10_10,home,42,gpb,3,7.620459703472222,6.211821549411112
ClassGen,10_10,home,43,gpb,2,9.10313752325,7.009346311272222
ClassGen,10_10,home,43,gpb,3,8.434847477344444,6.8643577493166665
ClassGen,10_10,home,44,gpb,2,9.20516388235,7.593402549322222
ClassGen,10_10,home,44,gpb,3,8.727891304799998,7.202029244338889
ClassGen,10_10,home,45,gpb,2,9.878427087877778,8.037210397572222
ClassGen,10_10,home,45,gpb,3,9.671383796150002,7.930619782922224
ClassGen,10_10,home,46,gpb,2,10.600057665655557,8.5479054195
ClassGen,10_10,home,46,gpb,3,9.181294329822222,7.617939657416668
ClassGen,10_10,home,47,gpb,2,10.587988439600002,8.436765861622222
ClassGen,10_10,home,47,gpb,3,9.043732078727778,7.217360042549999
ClassGen,10_10,home,48,gpb,2,10.866775049250002,8.715506022222224
ClassGen,10_10,home,48,gpb,3,10.335526144355557,8.801685185933332
ClassGen,10_10,import,25,gpb,2,5.644438124253334,4.60309600604
ClassGen,10_10,import,25,gpb,3,4.719310841473333,5.877513716166668
ClassGen,10_10,import,26,gpb,2,4.919214451173333,4.096812323653333
ClassGen,10_10,import,26,gpb,3,3.77052243302,4.933501670346666
ClassGen,10_10,import,27,gpb,2,5.2607553825,4.231889117300001
ClassGen,10_10,import,27,gpb,3,5.081766331133333,5.8675397514
ClassGen,10_10,import,28,gpb,2,5.89621737986,4.593718336799999
ClassGen,10_10,import,28,gpb,3,5.077579831573334,6.328297295479999
ClassGen,10_10,import,29,gpb,2,5.530355319160001,4.338481421746667
ClassGen,10_10,import,29,gpb,3,4.758623905266666,5.369695467160001
ClassGen,10_10,import,30,gpb,2,6.2655220067399995,5.336925011413334
ClassGen,10_10,import,30,gpb,3,5.019884134940001,6.104010142253333
ClassGen,10_10,import,31,gpb,2,7.411053385886665,5.714059877913333
ClassGen,10_10,import,31,gpb,3,6.3793886696666675,7.115176082466667
ClassGen,10_10,import,32,gpb,2,7.375382610426667,5.703775398273333
ClassGen,10_10,import,32,gpb,3,5.801008400006666,7.073485017613334
ClassGen,10_10,import,33,gpb,2,7.88606328214,6.478057722473333
ClassGen,10_10,import,33,gpb,3,5.742721955173334,7.284320878986667
ClassGen,10_10,import,34,gpb,2,8.277842411346667,7.199345572873334
ClassGen,10_10,import,34,gpb,3,5.829536863953334,7.4602464493000005
ClassGen,10_10,import,35,gpb,2,7.984852122413334,6.553607766842024
ClassGen,10_10,import,35,gpb,3,6.3437085505585715,7.810433825826666
ClassGen,10_10,import,36,gpb,2,8.698226741604815,7.1791595503848145
ClassGen,10_10,import,36,gpb,3,6.5544590066833335,7.8607585357083325
ClassGen,10_10,import,37,gpb,2,9.188448907040742,8.101472613811112
ClassGen,10_10,import,37,gpb,3,7.3485423370011445,8.674746321563367
ClassGen,10_10,import,38,gpb,2,9.802773678933333,8.322671962348148
ClassGen,10_10,import,38,gpb,3,6.644640044292963,8.16432763684926
ClassGen,10_10,import,39,gpb,2,10.224063773572224,8.28929352086111
ClassGen,10_10,import,39,gpb,3,7.382550411516665,9.120132955961111
ClassGen,10_10,import,40,gpb,2,10.382320124855555,8.641034571044445
ClassGen,10_10,import,40,gpb,3,7.131690500172222,8.650426002722222
ClassGen,10_10,import,41,gpb,2,10.47140835393889,8.858373915855553
ClassGen,10_10,import,41,gpb,3,7.10616320505,9.24726278618889
ClassGen,10_10,import,42,gpb,2,10.679794497044442,8.530797669244444
ClassGen,10_10,import,42,gpb,3,7.362688074655556,9.185361404538888
ClassGen,10_10,import,43,gpb,2,11.0191508707,9.222385970722224
ClassGen,10_10,import,43,gpb,3,7.665842800622222,9.331370402983334
ClassGen,10_10,import,44,gpb,2,11.408985169583332,9.936524138155555
ClassGen,10_10,import,44,gpb,3,7.8130160202,10.19774593582222
ClassGen,10_10,import,45,gpb,2,11.843383779905556,9.976978091916667
ClassGen,10_10,import,45,gpb,3,7.968210805850002,10.315437208311112
ClassGen,10_10,import,46,gpb,2,11.822957429083331,10.005978097783332
ClassGen,10_10,import,46,gpb,3,8.663214146172223,10.487204220866667
ClassGen,10_10,import,47,gpb,2,12.06964762592222,10.313028427327778
ClassGen,10_10,import,47,gpb,3,8.596407096227777,11.0986627371
ClassGen,10_10,import,48,gpb,2,13.008510268316668,10.840910260916667
ClassGen,10_10,import,48,gpb,3,8.579694138811112,10.877334413205554
ClassGen,25_25,home,35,gpb,2,6.46750877665,4.597678156283334
ClassGen,25_25,home,35,gpb,3,5.0491396022499995,3.7317008417500004
ClassGen,25_25,home,36,gpb,2,5.465847544483334,4.1569557588
ClassGen,25_25,home,36,gpb,3,5.862592032099999,4.577633339814286
ClassGen,25_25,home,37,gpb,2,7.552181300916668,5.4608896007666665
ClassGen,25_25,home,37,gpb,3,5.691866297585714,4.396239179214286
ClassGen,25_25,home,38,gpb,2,7.556628534933335,5.8066679112666675
ClassGen,25_25,home,38,gpb,3,6.017836305083333,5.068870498383334
ClassGen,25_25,home,39,gpb,2,6.024462400733334,5.462211859333333
ClassGen,25_25,home,39,gpb,3,5.010572146516666,4.642217401066667
ClassGen,25_25,home,40,gpb,2,6.633581172666666,5.4496737728
ClassGen,25_25,home,40,gpb,3,6.596786224766666,4.702382553816667
ClassGen,25_25,home,41,gpb,2,10.228757465166666,7.795750702299999
ClassGen,25_25,home,41,gpb,3,8.068294276016665,7.576670963233333
ClassGen,25_25,home,42,gpb,2,9.964441978633333,7.6622185813499994
ClassGen,25_25,home,42,gpb,3,7.897524957733334,6.8348426076
ClassGen,25_25,home,43,gpb,2,10.226563958816667,7.783638046749999
ClassGen,25_25,home,43,gpb,3,8.838098920033334,8.323792509733332
ClassGen,25_25,home,44,gpb,2,11.764701494,8.793464211716666
ClassGen,25_25,home,44,gpb,3,9.032673140850001,9.373692255616666
ClassGen,25_25,home,45,gpb,2,11.401019151166665,9.184845039933334
ClassGen,25_25,home,45,gpb,3,9.828868035616667,10.158432150966666
ClassGen,25_25,home,46,gpb,2,11.834572584966667,9.018367428133333
ClassGen,25_25,home,46,gpb,3,10.479745160216666,10.131157443833333
ClassGen,25_25,home,47,gpb,2,12.207614415366665,9.06565959555
ClassGen,25_25,home,47,gpb,3,10.140967033133334,10.280587888133333
ClassGen,25_25,home,48,gpb,2,11.740686854316666,9.224674897933333
ClassGen,25_25,home,48,gpb,3,10.581168961316665,9.213446868333333
ClassGen,25_25,import,25,gpb,2,5.32259898194,4.11050293382
ClassGen,25_25,import,25,gpb,3,4.3974920403,5.743680891653334
ClassGen,25_25,import,26,gpb,2,5.1268180539933335,4.068679033653333
ClassGen,25_25,import,26,gpb,3,4.2722458023400005,5.330304631213333
ClassGen,25_25,import,27,gpb,2,5.954267882946667,4.696458968786668
ClassGen,25_25,import,27,gpb,3,4.5073264390866665,5.426738557006666
ClassGen,25_25,import,28,gpb,2,5.507140879886666,4.083574351473334
ClassGen,25_25,import,28,gpb,3,4.8970337759866664,6.067175101146667
