Generation N Sum home import Population Rep Import Scenario Cor
46 8640 1 0 1 import 0 100_100 ClassGen 0.9
47 8640 1 0 1 import 0 100_100 ClassGen 0.9
48 8640 1 0 1 import 0 100_100 ClassGen 0.9
49 8640 1 0 1 import 0 100_100 ClassGen 0.9
50 8640 1 0 1 import 0 100_100 ClassGen 0.9
30 8640 1 1 0 home 0 50_50 ClassGen 0.9
31 8640 1 1 0 home 0 50_50 ClassGen 0.9
32 8640 1 0.9484375 0.0515625 home 0 50_50 ClassGen 0.9
33 8640 1 0.897511574074074 0.102488425925926 home 0 50_50 ClassGen 0.9
34 8640 1 0.847337962962963 0.152662037037037 home 0 50_50 ClassGen 0.9
35 8640 1 0.792071759259259 0.207928240740741 home 0 50_50 ClassGen 0.9
36 8640 1 0.727112268518519 0.272887731481481 home 0 50_50 ClassGen 0.9
37 8640 1 0.717447916666667 0.282552083333333 home 0 50_50 ClassGen 0.9
38 8640 1 0.691102430555556 0.308897569444444 home 0 50_50 ClassGen 0.9
39 8640 1 0.657306134259259 0.342693865740741 home 0 50_50 ClassGen 0.9
40 8640 1 0.640451388888889 0.359548611111111 home 0 50_50 ClassGen 0.9
41 8640 1 0.542867476851852 0.457132523148148 home 0 50_50 ClassGen 0.9
42 8640 1 0.496853298611111 0.503146701388889 home 0 50_50 ClassGen 0.9
43 8640 1 0.454456018518519 0.545543981481482 home 0 50_50 ClassGen 0.9
44 8640 1 0.416905381944444 0.583094618055556 home 0 50_50 ClassGen 0.9
45 8640 1 0.375788483796296 0.624211516203704 home 0 50_50 ClassGen 0.9
46 8640 1 0.330852141203704 0.669147858796296 home 0 50_50 ClassGen 0.9
47 8640 1 0.293891059027778 0.706108940972222 home 0 50_50 ClassGen 0.9
48 8640 1 0.268726490162037 0.731273509837963 home 0 50_50 ClassGen 0.9
49 8640 1 0.240263310185185 0.759736689814815 home 0 50_50 ClassGen 0.9
50 8640 1 0.215413411458333 0.784586588541667 home 0 50_50 ClassGen 0.9
30 8640 1 0 1 import 0 50_50 ClassGen 0.9
31 8640 1 0 1 import 0 50_50 ClassGen 0.9
32 8640 1 0 1 import 0 50_50 ClassGen 0.9
33 8640 1 0 1 import 0 50_50 ClassGen 0.9
34 8640 1 0 1 import 0 50_50 ClassGen 0.9
35 8640 1 0 1 import 0 50_50 ClassGen 0.9
36 8640 1 0 1 import 0 50_50 ClassGen 0.9
37 8640 1 0 1 import 0 50_50 ClassGen 0.9
38 8640 1 0 1 import 0 50_50 ClassGen 0.9
39 8640 1 0 1 import 0 50_50 ClassGen 0.9
40 8640 1 0 1 import 0 50_50 ClassGen 0.9
41 8640 1 0 1 import 0 50_50 ClassGen 0.9
42 8640 1 0 1 import 0 50_50 ClassGen 0.9
43 8640 1 0 1 import 0 50_50 ClassGen 0.9
44 8640 1 0 1 import 0 50_50 ClassGen 0.9
45 8640 1 0 1 import 0 50_50 ClassGen 0.9
46 8640 1 0 1 import 0 50_50 ClassGen 0.9
47 8640 1 0 1 import 0 50_50 ClassGen 0.9
48 8640 1 0 1 import 0 50_50 ClassGen 0.9
49 8640 1 0 1 import 0 50_50 ClassGen 0.9
50 8640 1 0 1 import 0 50_50 ClassGen 0.9
30 8640 1 1 0 home 0 25_25 ClassGen 0.9
31 8640 1 1 0 home 0 25_25 ClassGen 0.9
32 8640 1 0.977893518518518 0.0221064814814815 home 0 25_25 ClassGen 0.9
33 8640 1 0.952256944444444 0.0477430555555556 home 0 25_25 ClassGen 0.9
34 8640 1 0.926475694444444 0.0735243055555556 home 0 25_25 ClassGen 0.9
35 8640 1 0.897887731481481 0.102112268518519 home 0 25_25 ClassGen 0.9
36 8640 1 0.867158564814815 0.132841435185185 home 0 25_25 ClassGen 0.9
37 8640 1 0.862037037037037 0.137962962962963 home 0 25_25 ClassGen 0.9
38 8640 1 0.853443287037037 0.146556712962963 home 0 25_25 ClassGen 0.9
39 8640 1 0.837225115740741 0.162774884259259 home 0 25_25 ClassGen 0.9
40 8640 1 0.815653935185185 0.184346064814815 home 0 25_25 ClassGen 0.9
30 8640 1 0 1 import 0 25_25 ClassGen 0.9
31 8640 1 0 1 import 0 25_25 ClassGen 0.9
32 8640 1 0 1 import 0 25_25 ClassGen 0.9
33 8640 1 0 1 import 0 25_25 ClassGen 0.9
34 8640 1 0 1 import 0 25_25 ClassGen 0.9
35 8640 1 0 1 import 0 25_25 ClassGen 0.9
36 8640 1 0 1 import 0 25_25 ClassGen 0.9
37 8640 1 0 1 import 0 25_25 ClassGen 0.9
38 8640 1 0 1 import 0 25_25 ClassGen 0.9
39 8640 1 0 1 import 0 25_25 ClassGen 0.9
40 8640 1 0 1 import 0 25_25 ClassGen 0.9
30 8640 1 1 0 home 0 10_10 ClassGen 0.9
31 8640 1 1 0 home 0 10_10 ClassGen 0.9
32 8640 1 0.988715277777778 0.0112847222222222 home 0 10_10 ClassGen 0.9
33 8640 1 0.980613425925926 0.0193865740740741 home 0 10_10 ClassGen 0.9
34 8640 1 0.971875 0.028125 home 0 10_10 ClassGen 0.9
35 8640 1 0.957349537037037 0.042650462962963 home 0 10_10 ClassGen 0.9
36 8640 1 0.946354166666667 0.0536458333333333 home 0 10_10 ClassGen 0.9
37 8640 1 0.945891203703704 0.0541087962962963 home 0 10_10 ClassGen 0.9
38 8640 1 0.94615162037037 0.0538483796296296 home 0 10_10 ClassGen 0.9
39 8640 1 0.936892361111111 0.0631076388888889 home 0 10_10 ClassGen 0.9
40 8640 1 0.93482349537037 0.0651765046296296 home 0 10_10 ClassGen 0.9
41 8640 1 0.924978298611111 0.0750217013888889 home 0 10_10 ClassGen 0.9
42 8640 1 0.91861255787037 0.0813874421296296 home 0 10_10 ClassGen 0.9
43 8640 1 0.887087673611111 0.112912326388889 home 0 10_10 ClassGen 0.9
44 8640 1 0.858195891203704 0.141804108796296 home 0 10_10 ClassGen 0.9
45 8640 1 0.843706597222222 0.156293402777778 home 0 10_10 ClassGen 0.9
46 8640 1 0.791460503472222 0.208539496527778 home 0 10_10 ClassGen 0.9
47 8640 1 0.7541015625 0.2458984375 home 0 10_10 ClassGen 0.9
48 8640 1 0.729918981481481 0.270081018518519 home 0 10_10 ClassGen 0.9
49 8640 1 0.696269169560185 0.303730830439815 home 0 10_10 ClassGen 0.9
50 8640 1 0.672046802662037 0.327953197337963 home 0 10_10 ClassGen 0.9
30 8640 1 0 1 import 0 10_10 ClassGen 0.9
31 8640 1 0 1 import 0 10_10 ClassGen 0.9
32 8640 1 0 1 import 0 10_10 ClassGen 0.9
33 8640 1 0 1 import 0 10_10 ClassGen 0.9
34 8640 1 0 1 import 0 10_10 ClassGen 0.9
35 8640 1 0 1 import 0 10_10 ClassGen 0.9
36 8640 1 0 1 import 0 10_10 ClassGen 0.9
37 8640 1 0 1 import 0 10_10 ClassGen 0.9
38 8640 1 0 1 import 0 10_10 ClassGen 0.9
39 8640 1 0 1 import 0 10_10 ClassGen 0.9
40 8640 1 0 1 import 0 10_10 ClassGen 0.9
41 8640 1 0 1 import 0 10_10 ClassGen 0.9
42 8640 1 0 1 import 0 10_10 ClassGen 0.9
43 8640 1 0 1 import 0 10_10 ClassGen 0.9
44 8640 1 0 1 import 0 10_10 ClassGen 0.9
45 8640 1 0 1 import 0 10_10 ClassGen 0.9
46 8640 1 0 1 import 0 10_10 ClassGen 0.9
47 8640 1 0 1 import 0 10_10 ClassGen 0.9
48 8640 1 0 1 import 0 10_10 ClassGen 0.9
49 8640 1 0 1 import 0 10_10 ClassGen 0.9
50 8640 1 0 1 import 0 10_10 ClassGen 0.9
30 8640 1 1 0 home 0 0_0 ClassGen 0.9
31 8640 1 1 0 home 0 0_0 ClassGen 0.9
32 8640 1 1 0 home 0 0_0 ClassGen 0.9
33 8640 1 1 0 home 0 0_0 ClassGen 0.9
34 8640 1 1 0 home 0 0_0 ClassGen 0.9
35 8640 1 1 0 home 0 0_0 ClassGen 0.9
36 8640 1 1 0 home 0 0_0 ClassGen 0.9
37 8640 1 1 0 home 0 0_0 ClassGen 0.9
38 8640 1 1 0 home 0 0_0 ClassGen 0.9
39 8640 1 1 0 home 0 0_0 ClassGen 0.9
40 8640 1 1 0 home 0 0_0 ClassGen 0.9
41 8640 1 1 0 home 0 0_0 ClassGen 0.9
42 8640 1 1 0 home 0 0_0 ClassGen 0.9
43 8640 1 1 0 home 0 0_0 ClassGen 0.9
44 8640 1 1 0 home 0 0_0 ClassGen 0.9
45 8640 1 1 0 home 0 0_0 ClassGen 0.9
46 8640 1 1 0 home 0 0_0 ClassGen 0.9
47 8640 1 1 0 home 0 0_0 ClassGen 0.9
48 8640 1 1 0 home 0 0_0 ClassGen 0.9
49 8640 1 1 0 home 0 0_0 ClassGen 0.9
50 8640 1 1 0 home 0 0_0 ClassGen 0.9
30 8640 1 0 1 import 0 0_0 ClassGen 0.9
31 8640 1 0 1 import 0 0_0 ClassGen 0.9
32 8640 1 0 1 import 0 0_0 ClassGen 0.9
33 8640 1 0 1 import 0 0_0 ClassGen 0.9
34 8640 1 0 1 import 0 0_0 ClassGen 0.9
35 8640 1 0 1 import 0 0_0 ClassGen 0.9
36 8640 1 0 1 import 0 0_0 ClassGen 0.9
37 8640 1 0 1 import 0 0_0 ClassGen 0.9
38 8640 1 0 1 import 0 0_0 ClassGen 0.9
39 8640 1 0 1 import 0 0_0 ClassGen 0.9
40 8640 1 0 1 import 0 0_0 ClassGen 0.9
41 8640 1 0 1 import 0 0_0 ClassGen 0.9
42 8640 1 0 1 import 0 0_0 ClassGen 0.9
43 8640 1 0 1 import 0 0_0 ClassGen 0.9
44 8640 1 0 1 import 0 0_0 ClassGen 0.9
45 8640 1 0 1 import 0 0_0 ClassGen 0.9
46 8640 1 0 1 import 0 0_0 ClassGen 0.9
47 8640 1 0 1 import 0 0_0 ClassGen 0.9
48 8640 1 0 1 import 0 0_0 ClassGen 0.9
49 8640 1 0 1 import 0 0_0 ClassGen 0.9
50 8640 1 0 1 import 0 0_0 ClassGen 0.9
30 8640 1 1 0 home 0 0_100 GenGen 0.9
31 8640 1 1 0 home 0 0_100 GenGen 0.9
32 8640 1 0.998784722222222 0.00121527777777778 home 0 0_100 GenGen 0.9
33 8640 1 0.997916666666667 0.00208333333333333 home 0 0_100 GenGen 0.9
34 8640 1 0.972077546296296 0.0279224537037037 home 0 0_100 GenGen 0.9
35 8640 1 0.936024305555556 0.0639756944444444 home 0 0_100 GenGen 0.9
36 8640 1 0.907928240740741 0.0920717592592593 home 0 0_100 GenGen 0.9
37 8640 1 0.860894097222222 0.139105902777778 home 0 0_100 GenGen 0.9
38 8640 1 0.802358217592593 0.197641782407407 home 0 0_100 GenGen 0.9
39 8640 1 0.763599537037037 0.236400462962963 home 0 0_100 GenGen 0.9
40 8640 1 0.728819444444444 0.271180555555556 home 0 0_100 GenGen 0.9
41 8640 1 0.672280092592593 0.327719907407407 home 0 0_100 GenGen 0.9
42 8640 1 0.634201388888889 0.365798611111111 home 0 0_100 GenGen 0.9
43 8640 1 0.602520978009259 0.397479021990741 home 0 0_100 GenGen 0.9
44 8640 1 0.572222222222222 0.427777777777778 home 0 0_100 GenGen 0.9
45 8640 1 0.536263020833333 0.463736979166667 home 0 0_100 GenGen 0.9
46 8640 1 0.512503616898148 0.487496383101852 home 0 0_100 GenGen 0.9
47 8640 1 0.482300708912037 0.517699291087963 home 0 0_100 GenGen 0.9
48 8640 1 0.453927951388889 0.546072048611111 home 0 0_100 GenGen 0.9
49 8640 1 0.427795862268519 0.572204137731481 home 0 0_100 GenGen 0.9
50 8640 1 0.407038483796296 0.592961516203704 home 0 0_100 GenGen 0.9
30 8640 1 0 1 import 0 0_100 GenGen 0.9
31 8640 1 0 1 import 0 0_100 GenGen 0.9
32 8640 1 0 1 import 0 0_100 GenGen 0.9
33 8640 1 0 1 import 0 0_100 GenGen 0.9
34 8640 1 0 1 import 0 0_100 GenGen 0.9
35 8640 1 0 1 import 0 0_100 GenGen 0.9
36 8640 1 0 1 import 0 0_100 GenGen 0.9
37 8640 1 0 1 import 0 0_100 GenGen 0.9
38 8640 1 0 1 import 0 0_100 GenGen 0.9
39 8640 1 0 1 import 0 0_100 GenGen 0.9
40 8640 1 0 1 import 0 0_100 GenGen 0.9
41 8640 1 0 1 import 0 0_100 GenGen 0.9
42 8640 1 0 1 import 0 0_100 GenGen 0.9
43 8640 1 0 1 import 0 0_100 GenGen 0.9
44 8640 1 0 1 import 0 0_100 GenGen 0.9
45 8640 1 0 1 import 0 0_100 GenGen 0.9
46 8640 1 0 1 import 0 0_100 GenGen 0.9
47 8640 1 0 1 import 0 0_100 GenGen 0.9
48 8640 1 0 1 import 0 0_100 GenGen 0.9
49 8640 1 0 1 import 0 0_100 GenGen 0.9
50 8640 1 0 1 import 0 0_100 GenGen 0.9
30 8640 1 1 0 home 0 100_100 GenGen 0.9
31 8640 1 1 0 home 0 100_100 GenGen 0.9
32 8640 1 0.906076388888889 0.0939236111111111 home 0 100_100 GenGen 0.9
33 8640 1 0.814178240740741 0.185821759259259 home 0 100_100 GenGen 0.9
34 8640 1 0.717303240740741 0.282696759259259 home 0 100_100 GenGen 0.9
35 8640 1 0.60474537037037 0.39525462962963 home 0 100_100 GenGen 0.9
36 8640 1 0.48431712962963 0.51568287037037 home 0 100_100 GenGen 0.9
37 8640 1 0.439887152777778 0.560112847222222 home 0 100_100 GenGen 0.9
38 8640 1 0.386414930555556 0.613585069444444 home 0 100_100 GenGen 0.9
39 8640 1 0.328327546296296 0.671672453703704 home 0 100_100 GenGen 0.9
40 8640 1 0.279376446759259 0.720623553240741 home 0 100_100 GenGen 0.9
41 8640 1 0.237384259259259 0.762615740740741 home 0 100_100 GenGen 0.9
42 8640 1 0.202531828703704 0.797468171296296 home 0 100_100 GenGen 0.9
43 8640 1 0.174602141203704 0.825397858796296 home 0 100_100 GenGen 0.9
44 8640 1 0.149262152777778 0.850737847222222 home 0 100_100 GenGen 0.9
45 8640 1 0.12650462962963 0.87349537037037 home 0 100_100 GenGen 0.9
46 8640 1 0.107581018518519 0.892418981481481 home 0 100_100 GenGen 0.9
47 8640 1 0.0936071325231481 0.906392867476852 home 0 100_100 GenGen 0.9
48 8640 1 0.080126953125 0.919873046875 home 0 100_100 GenGen 0.9
49 8640 1 0.0681333188657407 0.931866681134259 home 0 100_100 GenGen 0.9
50 8640 1 0.0580213758680556 0.941978624131944 home 0 100_100 GenGen 0.9
30 8640 1 0 1 import 0 100_100 GenGen 0.9
31 8640 1 0 1 import 0 100_100 GenGen 0.9
32 8640 1 0 1 import 0 100_100 GenGen 0.9
